id,tick_lower,tick_upper,ticks,deposited_token0,deposited_token1,collected_token0,collected_token1,total_deposited_usd,total_profit_usd,apr_30d,apr,in_range,in_range_swaps,impermanent_loss,price_lower,price_upper,price_range,price_mid,wallet,auto_rebalance,cutoff_tick_low,cutoff_tick_high,buffer_ticks_below,buffer_ticks_above,tick_spaces_below,tick_spaces_above,dust_bp
"10501387","-70000","-66000","4000","141.705442","0.00385011","318.752792","0.00192728","141.70929211","3.53402584","1.82","22.20","0","0","0.00","0.0009","0.0014","0.0004","0.0011","undefined","0","0","0","0","0","0","0","0"
"9455683","-68000","-66000","2000","66.651099","0.00039429","102.682","0.00001532","66.65149329","1.7847373199999998","1.43","17.45","0","0","0.00","0.0011","0.0014","0.0002","0.0012","undefined","0","0","0","0","0","0","0","0"
"10469575","-68000","-66000","2000","19625.475702","0.16835542","15924.578232","0.22031458","19625.64405742","278.29037179","1.04","12.62","0","0","0.00","0.0011","0.0014","0.0002","0.0012","undefined","0","0","0","0","0","0","0","0"
"10910080","-68000","-66000","2000","8913.742559","0.13289976","20293.176767","0.00086617","8913.87545876","85.50780316999999","0.85","10.30","0","0","0.00","0.0011","0.0014","0.0002","0.0012","undefined","0","0","0","0","0","0","0","0"
"10909111","-70000","-66000","4000","19563.925051","0.8","41940.103071","0.53888087","19564.725050999998","187.20655555","0.84","10.27","0","0","0.00","0.0009","0.0014","0.0004","0.0011","undefined","0","0","0","0","0","0","0","0"
"10648786","-68000","-66000","2000","36.341263","0.00079426","40.823775","0.00074461","36.34205726","0.27906733","0.61","7.38","0","0","0.00","0.0011","0.0014","0.0002","0.0012","undefined","0","0","0","0","0","0","0","0"
"10371955","-70000","-66000","4000","1796.38358","0.03752436","1284.90144","0.04402917","1796.4211043599998","14.88418183","0.59","7.20","0","0","0.00","0.0009","0.0014","0.0004","0.0011","undefined","0","0","0","0","0","0","0","0"
"10683065","-68000","-64000","4000","10.125908","0.00006225","15.429245","0.00000068","10.12597025","0.06216068","0.48","5.90","0","0","0.00","0.0011","0.0017","0.0005","0.0014","undefined","0","0","0","0","0","0","0","0"
"10005281","-68000","-66000","2000","799.999999","0.00504147","397.988857","0.01008259","800.00504047","4.95976224","0.40","4.81","0","0","0.00","0.0011","0.0014","0.0002","0.0012","undefined","0","0","0","0","0","0","0","0"
"13194734","-70000","-68000","2000","408.53164","0.002","434.314401","0.00175265","408.53364","0.2899801","0.35","4.32","0","0","0.00","0.0009","0.0011","0.0002","0.0010","undefined","0","0","0","0","0","0","0","0"
"9011592","-68000","-66000","2000","266.851088","0.00284411","346.617471","0.0019122","266.85393211","1.8328707100000001","0.33","4.04","0","0","0.00","0.0011","0.0014","0.0002","0.0012","undefined","0","0","0","0","0","0","0","0"
"13163260","-72000","-68000","4000","7258.439878","0.15216438","4.342894","0.00003296","7258.59204238","4.342926960000001","0.30","3.64","0","0","0.00","0.0007","0.0011","0.0004","0.0009","undefined","0","0","0","0","0","0","0","0"
"9383895","-68000","-66000","2000","22.137645","0.00011665","32.402241","0.00000043","22.137761649999998","0.10814643","0.26","3.13","0","0","0.00","0.0011","0.0014","0.0002","0.0012","undefined","0","0","0","0","0","0","0","0"
"9540468","-68000","-66000","2000","285.092678","0.00158154","423.849754","0.00000206","285.09425954","1.2033900599999998","0.23","2.85","0","0","0.00","0.0011","0.0014","0.0002","0.0012","undefined","0","0","0","0","0","0","0","0"
"8897325","-70000","-66000","4000","148.385701","0.00446713","195.54943","0.00391232","148.39016813","0.6875976","0.22","2.64","0","0","0.00","0.0009","0.0014","0.0004","0.0011","undefined","0","0","0","0","0","0","0","0"
