id	tick_lower	tick_upper	ticks	deposited_token0	deposited_token1	collected_token0	collected_token1	total_deposited_usd	total_profit_usd	apr_30d	apr	in_range	impermanent_loss	wallet	open_price	close_price	open_date	close_date
10785364	-68000	-66000	2000	15972.699985	1.782	15964.362321	1.78211114	149648.4677811184	27067.702610660628	9.52	115.82	0	0.00		75014.46004271516301949701670249561	90203.02071103097894253410031531367	1744171177	1745326800
10785259	-68000	-66000	2000	16363.163118	1.782	16363.163117	1.78199999	150038.93091411842	27066.0142079086	9.49	115.51	0	0.00		75014.46004271516301949701670249561	90203.02071103097894253410031531367	1744170975	1745326800
10785139	-68000	-66000	2000	18197.239133	1.782	18192.447072	1.78206372	151873.00692911842	27066.97078641849	9.38	114.12	0	0.00		75014.46004271516301949701670249561	90203.02071103097894253410031531367	1744170759	1745326800
10785110	-68000	-66000	2000	18612.655349	1.782	18482.740886	1.78372684	152288.42314511843	27091.866832223423	9.36	113.92	0	0.00		75014.46004271516301949701670249561	90203.02071103097894253410031531367	1744170697	1745326800
10785079	-68000	-66000	2000	19477.594214	1.782	19253.142577	1.78498078	153153.36201011844	27110.438834013814	9.32	113.35	0	0.00		75014.46004271516301949701670249561	90203.02071103097894253410031531367	1744170619	1745326800
10784383	-68000	-66000	2000	21339.570507	1.782	21090.869696	1.78529622	155015.33830311842	27114.6433008669	9.21	112.01	0	0.00		75014.46004271516301949701670249561	90203.02071103097894253410031531367	1744169403	1745326800
10784709	-68000	-66000	2000	21728.775684	1.78110305	21418.911773	1.78520832	155337.25926018308	27112.835575281722	9.19	111.77	0	0.00		75014.46004271516301949701670249561	90203.02071103097894253410031531367	1744169937	1745326800
10784352	-68000	-66000	2000	21682.403652	1.782	21555.678445	1.78367885	155358.17144811843	27090.727245259517	9.18	111.66	0	0.00		75014.46004271516301949701670249561	90203.02071103097894253410031531367	1744169355	1745326800
10784687	-68000	-66000	2000	21560.830811	1.782	21705.140331	1.78008826	155236.59860711842	27037.8799081247	9.17	111.53	0	0.00		75014.46004271516301949701670249561	90203.02071103097894253410031531367	1744169901	1745326800
10784326	-68000	-66000	2000	22527.326386	1.782	22301.735931	1.78498612	156203.09418211842	27109.781700144402	9.13	111.14	0	0.00		75014.46004271516301949701670249561	90203.02071103097894253410031531367	1744169323	1745326800
10783440	-68000	-66000	2000	22791.329007	1.782	22519.660496	1.78559516	156467.09680311842	27118.64089187825	9.12	110.98	0	0.00		75014.46004271516301949701670249561	90203.02071103097894253410031531367	1744167919	1745326800
10784266	-68000	-66000	2000	22838.996248	1.782	22786.185218	1.78269875	156514.76404411843	27076.233441660628	9.10	110.78	0	0.00		75014.46004271516301949701670249561	90203.02071103097894253410031531367	1744169223	1745326800
