autoRebalance	cutoffTickLow	cutoffTickHigh	bufferTicksBelow	bufferTicksAbove	positionCount	avgTickSpacesBelow	avgTickSpacesAbove	avgDustBP	avgPriceImpactBP	avgSlippageBP
False	0	0	0	0	11683	3.1190618847898657	2.798082684242061	0.0	0.0	0.0
True	-887272	-283982	0	0	1	2.0	7.0	300.0	300.0	300.0
True	-887272	-282505	0	0	1	8.0	7.0	300.0	100.0	100.0
True	-887272	-280480	0	-1000	1	47.0	46.0	100.0	50.0	50.0
True	-887272	-280480	0	-750	2	26.0	57.5	100.0	50.0	50.0
True	-887272	-269393	50	100	65	7.246153846153846	7.246153846153846	100.0	50.0	50.0
True	-887272	-269393	150	300	2	8.0	8.0	100.0	50.0	50.0
True	-887272	-269393	200	1000	3	10.666666666666666	8.0	100.0	50.0	50.0
True	-887272	-48201	0	0	6	0.0	0.0	1000.0	11.0	11.0
True	-887272	-47803	0	0	1	0.0	0.0	1000.0	11.0	11.0
True	-887272	-46851	0	0	1	0.0	0.0	1000.0	11.0	11.0
True	-887272	-46800	0	0	8	0.0	0.0	1000.0	11.0	11.0
True	-887272	-45856	30	30	2	0.0	0.0	1500.0	11.0	11.0
True	-887272	-45798	30	30	1	0.0	0.0	1500.0	11.0	11.0
True	-887272	-45701	30	30	2	0.0	0.0	1500.0	11.0	11.0
True	-887272	-2614	0	0	1	2.0	2.0	300.0	300.0	300.0
True	-887272	119122	0	50	1	24.0	7.0	100.0	50.0	50.0
True	-887272	240203	0	0	36	2.9444444444444446	1.9444444444444444	300.0	100.0	100.0
True	-887272	887272	-2000	-2000	2	7.0	7.0	50.0	10.0	10.0
True	-887272	887272	-1500	-1500	2	3.5	3.5	50.0	10.0	10.0
True	-887272	887272	-1000	-1000	9	2.0	1.4444444444444444	100.0	30.0	10.0
True	-887272	887272	-1000	-100	4	25.0	24.0	100.0	100.0	100.0
True	-887272	887272	-1000	1000	4	2.5	2.0	100.0	50.0	50.0
True	-887272	887272	-900	0	9	10.333333333333334	3.6666666666666665	200.0	200.0	50.0
True	-887272	887272	-500	-500	22	2.0	1.5	100.0	30.0	10.0
True	-887272	887272	-450	-250	4	7.75	6.75	50.0	100.0	100.0
True	-887272	887272	-400	-400	1	32.0	31.0	100.0	30.0	30.0
True	-887272	887272	-400	-100	1	5.0	3.0	300.0	50.0	100.0
True	-887272	887272	-300	-300	1	20.0	19.0	100.0	50.0	50.0
True	-887272	887272	-300	-100	24	3.875	2.9166666666666665	283.3333333333333	266.6666666666667	266.6666666666667
True	-887272	887272	-300	0	3	4.0	3.0	100.0	50.0	50.0
True	-887272	887272	-250	-150	2	8.0	3.0	100.0	100.0	100.0
True	-887272	887272	-250	-100	1	9.0	8.0	50.0	100.0	100.0
True	-887272	887272	-200	-200	83	9.289156626506024	6.373493975903615	100.0	49.036144578313255	26.14457831325301
True	-887272	887272	-200	-150	2	5.5	4.5	100.0	50.0	50.0
True	-887272	887272	-200	-100	1	4.0	3.0	100.0	100.0	100.0
True	-887272	887272	-200	-50	3	18.666666666666668	17.666666666666668	100.0	50.0	50.0
True	-887272	887272	-170	-60	3	4.333333333333333	3.6666666666666665	100.0	50.0	50.0
True	-887272	887272	-150	-150	1	3.0	3.0	100.0	100.0	100.0
True	-887272	887272	-150	100	1	2.0	1.0	100.0	50.0	50.0
