position_id	auto_rebalance	cutoff_tick_low	cutoff_tick_high	buffer_ticks_below	buffer_ticks_above	tick_spaces_below	tick_spaces_above	dust_bp	price_impact_bp	slippage_bp
39849	True	-887272	887272	0	0	7	2	100	50	50
40753	True	-887272	887272	0	0	4	3	100	50	50
41579	True	-887272	887272	0	0	0	0	2500	2500	300
41695	True	-887272	887272	0	0	0	0	100	50	50
38115	False	0	0	0	0	0	0	0	0	0
41743	True	-887272	887272	0	0	0	0	2500	2500	300
41744	True	-887272	887272	0	0	0	0	100	50	50
41786	False	0	0	0	0	0	0	0	0	0
41791	True	-887272	887272	0	0	0	0	2500	2500	300
41803	True	-887272	887272	0	0	0	0	100	50	50
41610	False	0	0	0	0	0	0	0	0	0
41815	False	0	0	0	0	0	0	0	0	0
41836	False	0	0	0	0	2	1	0	0	0
41875	True	-887272	887272	0	0	0	0	2500	2500	300
41881	True	-887272	887272	0	0	0	0	100	50	50
41885	False	0	0	0	0	9	9	0	0	0
41889	True	-887272	887272	0	0	0	0	2500	2500	300
41891	True	-887272	887272	0	0	0	0	100	50	50
41898	False	0	0	0	0	5	4	0	0	0
41898	True	-887272	887272	0	0	4	5	1000	500	500
41907	True	-887272	887272	0	0	0	0	2500	2500	300
41915	True	-887272	887272	0	0	0	0	100	50	50
41921	True	-887272	887272	0	0	3	4	100	50	50
41922	True	-887272	887272	0	0	0	0	2500	2500	300
41898	False	0	0	0	0	0	0	0	0	0
41929	False	0	0	0	0	0	0	0	0	0
41948	True	-887272	887272	0	0	0	0	2500	2500	300
31804	False	0	0	0	0	0	0	0	0	0
41955	True	-887272	887272	0	0	0	0	100	50	50
38029	False	0	0	0	0	0	0	0	0	0
41929	True	-887272	887272	0	0	8	6	100	50	50
41898	False	0	0	0	0	0	0	0	0	0
41929	True	-887272	887272	0	0	8	6	100	50	50
31804	False	0	0	0	0	0	0	0	0	0
41987	False	0	0	0	0	0	0	0	0	0
38029	True	-887272	887272	0	0	5	3	100	50	50
41993	False	0	0	0	0	0	0	0	0	0
