id	tick_lower	tick_upper	ticks	deposited_token0	deposited_token1	collected_token0	collected_token1	total_deposited_usd	total_profit_usd	apr_30d	apr	in_range	in_range_swaps	price_lower	price_upper	price_range	price_mid	wallet	auto_rebalance	cutoff_tick_low	cutoff_tick_high	buffer_ticks_below	buffer_ticks_above	tick_spaces_below	tick_spaces_above	dust_bp
90948	-4	-3	1	1411.153293	1656.362815	0	3067.060405	3067.516108	2.2798321084374287	2.23	27.13	100	100	0.9996	0.9997	0.0001	0.9997	0xb0bada5d45d939a03c6d211d24a61a4418d7cd13	TRUE	-887272	887272	0	0	0	0	100
182113	1	2	1	13393.782153	45119.939183	0	58516.246892	58513.721336	43.209031785623246	2.22	26.95	99	100	1.2001	1.2002	0.0001	1.2002	0xb0bada5d45d939a03c6d211d24a61a4418d7cd13	TRUE	-887272	887272	0	0	0	0	100
182116	1	2	1	16036.351094	18271.916131	0	34311.099787	34308.267225	25.29174132763118	2.21	26.91	99	99	1.2001	1.2002	0.0001	1.2002	0xb0bada5d45d939a03c6d211d24a61a4418d7cd13	TRUE	-887272	887272	0	0	0	0	100
182119	1	2	1	2227.737764	1570.331472	0	3798.440946	3798.0692360000003	2.402146863920196	1.90	23.08	99	99	1.2001	1.2002	0.0001	1.2002	0xb0bada5d45d939a03c6d211d24a61a4418d7cd13	TRUE	-887272	887272	0	0	0	0	100
144382	11	12	1	247.595248	2706.695297	2951.19113	0	2954.2905450000003	1.8708402871050076	1.90	23.11	97	100	1.2011	1.2012	0.0001	1.2012	0xb0bada5d45d939a03c6d211d24a61a4418d7cd13	TRUE	-887272	887272	0	0	0	0	100
91792	-4	-3	1	1087.160983	910.949095	0	1997.754434	1998.1100780000002	1.2571538537770652	1.89	22.96	98	98	0.9996	0.9997	0.0001	0.9997	0x9ddc19759ff10b381e0e1fe2df88f5c07a69138a	TRUE	-887272	887272	0	0	0	0	100
144402	11	12	1	2886.467669	36017.767085	38862.973797	0	38904.234754	24.344262868084044	1.88	22.84	60	79	1.2011	1.2012	0.0001	1.2012	0xb0bada5d45d939a03c6d211d24a61a4418d7cd13	TRUE	-887272	887272	0	0	0	0	100
133920	8	9	1	939.534962	3057.939795	0	3998.309618	3997.474757	2.4921461226415773	1.87	22.76	0	97	1.2008	1.2009	0.0001	1.2009	0xb0bada5d45d939a03c6d211d24a61a4418d7cd13	TRUE	-887272	887272	0	0	0	0	100
194912	5	6	1	3239.498128	7504.719465	10740.204452	0	10744.217593000001	6.567334490788889	1.83	22.31	100	98	1.2005	1.2006	0.0001	1.2006	0x97b73b8eaa8662381383a67e0dbcab67f78337dd	TRUE	-887272	887272	0	0	0	0	100
162686	1	2	1	38515.545965	20019.034175	0	58541.016248	58534.58014	34.83731361843583	1.79	21.72	100	100	1.2001	1.2002	0.0001	1.2002	0xb0bada5d45d939a03c6d211d24a61a4418d7cd13	TRUE	-887272	887272	0	0	0	0	100
162690	1	2	1	22583.95396	11738.349667	0	34326.077499	34322.303627	20.341067395895827	1.78	21.63	100	100	1.2001	1.2002	0.0001	1.2002	0xb0bada5d45d939a03c6d211d24a61a4418d7cd13	TRUE	-887272	887272	0	0	0	0	100
