id	tick_lower	tick_upper	ticks	deposited_token0	deposited_token1	total_deposited_usd	total_profit_usd	apr_30d	apr	duration_h	in_range_h	in_range_percent	impermanent_loss	price_lower	price_upper	price_range	price_mid	wallet	auto_rebalance	cutoff_tick_low	cutoff_tick_high	buffer_ticks_below	buffer_ticks_above	tick_spaces_below	tick_spaces_above	dust_bp	pool_id	pool_symbol
231257	-84300	-82500	1800	104555644364140657	22386367435000	0.10	0.09	2734.88	33274.35	12	12	100	0.00	0.0002	0.0003	0.0000	0.0002	0x7ca3ced961Fc1832d291d83A3413eE898F37E70F	0	0	0	0	0	0	0	0	0xb6d9b069f6b96a507243d501d1a23b3fccfc85d3	wS/WETH
435291	-81750	-81250	500	1466753108691023157	141553512102376	01.03	0.85	2470.64	30059.47	1	1	100	0.00	0.0003	0.0003	0.0000	0.0003	0xcd6c5e4b94822DD1Dc95Ba3cDEd82146B589FD99	1	-887272	887272	100	200	5	4	100	0xb6d9b069f6b96a507243d501d1a23b3fccfc85d3	wS/WETH
44165	43400	43500	100	5281700682348757403	173071510478582766159	271.19	127.75	1413.23	17194.32	2	2	100	0.04	76.6909	77.4616	0.7707	77.0763	0x44FdbDF7bdDE9E83c74B076B775f1fA40E6CA797	1	-887272	887272	0	0	0	0	100	0x66af3655e14a045f1742b3c9544553ef7915ed35	SHADOW/stS
226806	-91	-90	1	7415191184039581477	2117541571512734264	05.08	1.50	883.91	10754.20	2	2	100	0.00	0.9909	0.9910	0.0001	0.9910	0x25b6F5F1525F0074D53570Ea2Fb4Cd9Ee545B296	1	-887272	887272	0	0	0	0	100	0xde861c8fc9ab78fe00490c5a38813d26e2d09c95	wS/stS
181009	50000	50500	500	21090598026247012	3905978511245596156	2.82	1.14	606.98	7384.88	35	35	100	0.01	148.3761	155.9831	7.6070	152.1796	0x79d052099c6B3aDbB0fC804165453c43d2faeceD	0	0	0	0	0	0	0	0	0x66af3655e14a045f1742b3c9544553ef7915ed35	SHADOW/stS
412292	267450	268350	900	1724	784683794566088	03.05	2.51	493.25	6001.17	112	63	56	0.02	411742025771.0519	450515508930.1619	38773483159.1100	431128767350.6069	0xcB74A3139b90d84cCabea33A48018246D194101e	0	0	0	0	0	0	0	0	0x6b19c48449ce9de4254a883749257be5da660bfb	WBTC/WETH
295880	50100	51000	900	112421368348309680	18435953759819953343	13.74	3.17	345.60	4204.80	47	47	100	0.08	149.8672	163.9801	14.1129	156.9236	0x5A295c5Fa8aa2A4b6EF09412BCF772fc98C7DD6F	0	0	0	0	0	0	0	0	0x66af3655e14a045f1742b3c9544553ef7915ed35	SHADOW/stS
45374	-86050	-84000	2050	2983919845504535575	611595516723167	2.69	0.31	341.77	4158.19	10	10	100	0.00	0.0002	0.0002	0.0000	0.0002	0x0849a1F32181875159edCe504fFF0D4690403386	0	0	0	0	0	0	0	0	0xb6d9b069f6b96a507243d501d1a23b3fccfc85d3	wS/WETH
51559	42700	42800	100	27164860028928080031	11438491365339752169514	7090.88	801.55	339.12	4125.92	23	23	100	0.00	71.5064	72.2250	0.7186	71.8657	0x44FdbDF7bdDE9E83c74B076B775f1fA40E6CA797	1	-887272	887272	0	0	0	0	100	0x66af3655e14a045f1742b3c9544553ef7915ed35	SHADOW/stS
63997	49000	49300	300	8426350660148467	958378568264905799	0.80	0.08	306.08	3724.02	1	1	100	0.02	134.2569	138.3454	4.0885	136.3011	0xefb151EA17e903Fe5470CF07bcdd2E635028926D	0	0	0	0	0	0	0	0	0x66af3655e14a045f1742b3c9544553ef7915ed35	SHADOW/stS
