id	tick_lower	tick_upper	ticks	deposited_token0	deposited_token1	collected_token0	collected_token1	total_deposited_usd	total_profit_usd	apr_30d	apr	in_range	in_range_swaps	impermanent_loss	price_lower	price_upper	price_range	price_mid	wallet	auto_rebalance	cutoff_tick_low	cutoff_tick_high	buffer_ticks_below	buffer_ticks_above	tick_spaces_below	tick_spaces_above	dust_bp
24316	0	25	25	39.637723	9.991777	37.62987	12.00074	49.6295	1078.3178372391983	32591.03	396524.26	100	0		1.0	1.0025	0.0025	1.0013	0x3c5aac016ef2f178e8699d6208796a2d67557fe2	0	0	0	0	0	0	0	0
17580	0	10	10	81.533619	20.74629	16.837497	85.475999	102.279909	5554.492546455002	18102.26	220244.16	98	0	2.3148444938e-06	1.0	1.001	0.001	1.0005	0x0c8ac71c2052366593f695ebcaa409bd3039c0f4	0	0	0	0	0	0	0	0
24402	5	15	10	99.944542	10.014459	99.284254	10.675093	109.959001	541.7357839526911	14780.12	179824.81	100	0	1.4150716154404108e-07	1.0005	1.0015	0.001	1.001	0xb6ad3564bd6345bde177be74fae683a987650b63	0	0	0	0	0	0	0	0
24869	0	10	10	34.77855	39.845433	67.234873	7.37884	74.62398300000001	4051.7941849603344	10859.23	132120.61	100	0		1.0	1.001	0.001	1.0005	0xd37e5a41d7792e353fa905d9693ffc0b4016068a	0	0	0	0	0	0	0	0
22516	-25	30	55	53.573121	62.289355	45.467289	70.400446	115.862476	1144.4420492999625	5926.55	72106.41	98	0	0.0	0.9975	1.003	0.0055	1.0003	0xa7b4d4d74d7d68d598c5e4f3573a32dc6e1d29b2	0	0	0	0	0	0	0	0
8804	-5	10	15	8.05561	28.957596	9.830887	27.181168	37.013206	1071.9741655263729	5110.93	62182.98	97	0		0.9995	1.001	0.0015	1.0003	0x26570de098f37d1d717e2860fbf19d54fe9a6011	0	0	0	0	0	0	0	0
7376	0	25	25	15.976955	7.131144	15.383075	7.725499	23.108099	502.269332589652	2835.08	34493.52	97	0	2.3186859099411095e-07	1.0	1.0025	0.0025	1.0013	0xd4943d5e9a2413bc1e566f31b01d5a805f9d7d13	0	0	0	0	0	0	0	0
23380	0	10	10	3.445566	6.114516	1.807978	7.753737	9.560082	185.62736332767707	2647.76	32214.44	97	0		1.0	1.001	0.001	1.0005	0x6fc54c941604608b7e1702e198e767a76ebb4302	0	0	0	0	0	0	0	0
11938	0	25	25	4.189614	1.173822	4.984018	0.379129	5.363436	116.56449141887344	2414.8	29380.03	98	0		1.0	1.0025	0.0025	1.0013	0x3bbde793804a1a2a6cc402434f15a21e323b7f9b	0	0	0	0	0	0	0	0
8034	-5	20	25	101.620948	74.610332	89.453473	86.785478	176.23128	3829.146670008667	2328.0	28323.95	98	0		0.9995	1.002	0.0025	1.0008	0x6fb737d1ebb73cda6cfa36fd16d9273065d1b084	0	0	0	0	0	0	0	0
20903	-20	20	40	38.007527	50.0	0.0	88.050732	88.00752700000001	1195.1933184338734	1771.38	21551.79	98	0	5.13986999295e-05	0.998	1.002	0.004	1.0	0xdb8a01d53e03d162917f77f7e61307c9a1a7b823	0	0	0	0	0	0	0	0
9157	0	15	15	35.626078	31.634103	0.0	0.0	67.260181	2435.70475903518	1034.66	12588.39	87	0	1.3632702744e-06	1.0	1.0015	0.0015	1.0008	0x3b68b2d2fc0fb1ea0e852bb92449edec3834d197	0	0	0	0	0	0	0	0
9369	-5	20	25	13.634	11.500715	18.163239	6.969553	25.134715	315.4220828451509	672.28	8179.43	89	0	0.0	0.9995	1.002	0.0025	1.0008	0x55f5534f878cd4c2048b04884a343af32223c61b	0	0	0	0	0	0	0	0
13171	-5	20	25	5.383448	2.232557	0.0	0.0	7.616004999999999	165.5047373499744	651.94	7931.88	94	0	8.0461490248e-06	0.9995	1.002	0.0025	1.0008	0xbdcc47f2689591975d0e02c208e8fbae607c451d	0	0	0	0	0	0	0	0
2065	-5	20	25	9.358255	2.687895	0.000825	0.000788	12.04615	261.9460956619278	557.57	6783.76	94	0		0.9995	1.002	0.0025	1.0008	0xcd791be31b86b22c9822110e7d5a17ab136063ac	0	0	0	0	0	0	0	0
13407	-5	20	25	88.759356	60.895068	0.0	149.765558	149.654424	813.3760443950074	494.09	6011.47	90	0		0.9995	1.002	0.0025	1.0008	0xd681ac85823bfe056947e645c6a6ea737cf1fc3b	0	0	0	0	0	0	0	0
7617	-15	35	50	65.518225	55.226225	54.496146	66.259522	120.74445	1312.5192507701695	423.52	5152.77	99	0		0.9985	1.0035	0.005	1.001	0xbc2086c30b7db99e8953f3e4065736a474e2e7cb	0	0	0	0	0	0	0	0
22277	0	50	50	27.937513	2.239585	0.0	0.0	30.177098	328.0748996608723	354.51	4313.21	100	0	5.5257239117e-06	1.0	1.005	0.005	1.0025	0x3f01532c7d850a69663a5c80a6593130cd6793bc	0	0	0	0	0	0	0	0
8450	-15	35	50	42.172445	32.180952	1.9e-05	4e-06	74.353397	808.178207465118	307.63	3742.77	99	0		0.9985	1.0035	0.005	1.001	0x6e91724c9b7e22472a5c9eb73a1c1623af8e1d27	0	0	0	0	0	0	0	0
1552	-5	20	25	800.772991	666.737867	168.179939	1300.215485	1467.510858	5161.350682241786	211.02	2567.47	95	0	5.88715441729e-05	0.9995	1.002	0.0025	1.0008	0x8364ab71eaabe46fd130a9b995082014138a3a36	0	0	0	0	0	0	0	0
7305	0	10	10	1198.11818	1776.149931	650.398893	2324.246058	2974.268111	46.61840544994238	47.02	572.1	100	0	4.567035638558536e-09	1.0	1.001	0.001	1.0005	0x4a4a2fa0cf9ee113b9d026e93edd835edae048eb	0	0	0	0	0	0	0	0
6620	-5	10	15	1711.392965	899.515901	375.70908	2235.734698	2610.908866	44.5936383988475	25.62	311.71	99	0	4.0200797579e-06	0.9995	1.001	0.0015	1.0003	0x91ddeb35264287785762e666b5fba5da9e83b5c8	0	0	0	0	0	0	0	0
7342	5	15	10	28859.234359	5773.879916	24851.021398	9784.99759	34633.114275	235.45693468261285	20.4	248.15	100	0	9.685861002139973e-08	1.0005	1.0015	0.001	1.001	0x199745e7b4efead0b2f027e3c3c88b1c77b3b780	0	0	0	0	0	0	0	0
7477	5	10	5	142.639366	175.121768	177.916944	139.817803	317.761134	4.938475553366796	15.54	189.09	100	0	8.205195078936356e-07	1.0005	1.001	0.0005	1.0008	0x5de0d282a5ba9d2e0bb8d4d9647804287e0a6484	0	0	0	0	0	0	0	0
7411	5	10	5	5242.994048	7019.441362	6918.073232	5343.102172	12262.435409999998	276.3370406688398	13.52	164.51	100	0		1.0005	1.001	0.0005	1.0008	0x42a1ef5ffdaf134eb958814e443db9c244375c8f	0	0	0	0	0	0	0	0
7433	5	10	5	464.173832	550.37331	492.168434	522.357305	1014.547142	22.049605040836774	13.04	158.65	100	0		1.0005	1.001	0.0005	1.0008	0x2dc1056c52c5f7d5e2455c78fe7a5b2e2fbc5613	0	0	0	0	0	0	0	0
6674	0	5	5	1024.998434	36.52094	0.0	1061.784459	1061.5193740000002	9.01163233287908	12.73	154.93	66	0		1.0	1.0005	0.0005	1.0003	0x009d13e9bec94bf16791098ce4e5c168d27a9f07	0	0	0	0	0	0	0	0
