wallet	ticks	apr	total_profit_usd	mid_deposited_usd	rebalances	in_range	rebalances_gap_hours	mid_duration_hours	impermanent_loss_avg	auto_rebalance	vfat_cutoff_tick_low_avg	vfat_cutoff_tick_high_avg	vfat_buffer_ticks_below_avg	vfat_buffer_ticks_above_avg
0x3c5aac016ef2f178e8699d6208796a2d67557fe2	25	198264.07	1078.54	1066.02	2	100.0	0	20	0.0	0.0	0.0	0.0	0.0	0.0
0xd37e5a41d7792e353fa905d9693ffc0b4016068a	10	132120.61	4051.79	74.62	1	100.0	0	349	0.0	0.0	0.0	0.0	0.0	0.0
0x0c8ac71c2052366593f695ebcaa409bd3039c0f4	10	73419.02	5555.47	213.83	3	98.0	0	220	0.0	0.0	0.0	0.0	0.0	0.0
0x26570de098f37d1d717e2860fbf19d54fe9a6011	15	62182.98	1071.97	37.01	1	97.0	0	392	0.0	0.0	0.0	0.0	0.0	0.0
0xa7b4d4d74d7d68d598c5e4f3573a32dc6e1d29b2	55	36053.85	1144.55	181.64	2	99.0	461	196	0.0	0.0	0.0	0.0	0.0	0.0
0x6fc54c941604608b7e1702e198e767a76ebb4302	10	32214.44	185.63	9.56	1	97.0	0	513	0.0	0.0	0.0	0.0	0.0	0.0
0xdb8a01d53e03d162917f77f7e61307c9a1a7b823	40	21551.79	1195.19	88.01	1	98.0	0	551	5.13986999295e-05	0.0	0.0	0.0	0.0	0.0
0xd4943d5e9a2413bc1e566f31b01d5a805f9d7d13	25	17255.71	502.95	55.01	2	97.5	0	445	3.6931578462e-06	0.0	0.0	0.0	0.0	0.0
0x6fb737d1ebb73cda6cfa36fd16d9273065d1b084	25	14163.86	3829.18	132.86	2	99.0	410	371	6.3767890967e-06	0.0	0.0	0.0	0.0	0.0
0xb6ad3564bd6345bde177be74fae683a987650b63	10	13838.35	542.32	167.17	13	89.15	13	35	4.312443906247136e-08	0.0	0.0	0.0	0.0	0.0
0x3b68b2d2fc0fb1ea0e852bb92449edec3834d197	15	12588.39	2435.7	67.26	1	87.0	0	2498	1.3632702744e-06	0.0	0.0	0.0	0.0	0.0
0x3bbde793804a1a2a6cc402434f15a21e323b7f9b	25	9793.6	116.56	5.32	3	99.33	0	226	6.701301254648703e-07	0.0	0.0	0.0	0.0	0.0
0xcd791be31b86b22c9822110e7d5a17ab136063ac	25	6783.76	261.95	12.05	1	94.0	0	2806	0.0	0.0	0.0	0.0	0.0	0.0
