wallet,ticks,apr,total_profit_usd,mid_deposited_usd,rebalances,in_range,rebalances_gap_hours,mid_duration_hours,impermanent_loss_avg,auto_rebalance,vfat_cutoff_tick_low_avg,vfat_cutoff_tick_high_avg,vfat_buffer_ticks_below_avg,vfat_buffer_ticks_above_avg
"0xb3bfb32977cfd6200ab9537e3703e501d8381c9b","5","91.35","2720.79","155311.14","1","96.00","0","163","0","1","-887272","887272","0","0"
"0xc40f6f6ade14de9aa40e5a868aa8db4ae2ab5be4","10","56.54","140.45","22667.77","1","100.00","0","88","2.2882626904419112e-7","1","-887272","887272","0","0"
"0x3214e141bdae08be1f382a885cf3d2a448a5e780","10","52.38","46.37","3590.54","1","82.00","0","204","0.000005937684166568147","1","-887272","887272","0","0"
"0x4b2c88573f8f2baee29d5a1b68651afc868475a0","15","44.64","1.59","652.13","1","100.00","0","48","0","1","-887272","887272","0","0"
"0xd73c5d65f32f2a90c3a137bd57e294b53d3a2074","5","20.75","0.54","950.00","1","100.00","0","24","0","0","0","0","0","0"
"0x66a0f5491c5ace4e491fb8a90da3af1c2b9ac233","20","15.97","1.03","2345.64","1","88.00","0","21","0","0","0","0","0","0"
"0x55531a61506fc139c7c281c03b540c714bbb3752","5","15.95","59.05","27025.38","1","99.00","0","116","0","0","0","0","0","0"
"0x35dabbf0190cb68dee6d58b7ebfd28dd34959879","5","14.70","3.05","7562.42","1","100.00","0","17","0","0","0","0","0","0"
"0xdc4eb419f1f6f1d8321f8c1ac01ffe03645aa133","25","12.87","2.60","3687.15","1","100.00","0","48","0.00003272853738023329","0","0","0","0","0"
"0x83cac2cffc90b22fb063bfacfce4cb8544724cda","5","12.48","1.70","1656.55","1","99.00","0","71","0.000014600564857136789","0","0","0","0","0"
"0xb7932b64b728d113301d298d15ceddb0bf9a25f7","5","12.13","6.48","6501.31","1","100.00","0","54","0","1","0","39","0","0"
"0x3352cfe4b92b354c9e56382a6fc6d7462fea9ba2","5","11.17","2.22","7250.76","1","100.00","0","4","6.143008324244192e-9","0","0","0","0","0"
"0xee7cffb7b27f825dda9e6e5e7aff507e05f39990","5","11.16","13.89","7573.49","1","100.00","0","126","0.00000519454698144628","1","-887272","887272","0","0"
"0xdddcd66893097ba4fb6086aeea5c199245477c45","5","11.15","4.18","13697.73","1","100.00","0","13","0","0","0","0","0","0"
"0xa1eca898ad4a4909c527c78b559ffdad005e761d","5","10.27","6.85","1901.42","3","99.00","24","80","5.933998847851285e-7","0.3333333333333333","-295757.3333333333","295757.3333333333","0","0"
"0x83f1cdd65a7b50c65077ea97ad203cc6cc015ca3","5","9.75","3.22","5978.10","2","82.00","0","2","0","0","0","0","0","0"
"0x9fb7ed50fc5bace2e7e1101e8fd6805c9a678c84","5","9.38","2.19","851.01","2","77.50","0","116","0","0","0","0","0","0"
"0x1bc8c6c06a43e3fbb2ebc613e0ebc0ecb95b5937","5","9.15","50.13","50007.70","1","78.00","0","85","0.000043862442344888564","0","0","0","0","0"
"0xc2fb9a129cb251175e19f219580c843989a44359","5","8.78","7.83","10847.22","1","100.00","0","56","0","1","-887272","887272","0","0"
"0xcb71eb21f53a2f4de0f26dc90518df10be13d1ec","5","8.52","13.94","15799.64","2","100.00","11","14","0","0","0","0","0","0"
"0x6f27486b6c9a7a7fef4a6186aa9c0ba746a5a0dd","10","8.14","0.06","266.86","1","100.00","0","2","0","0","0","0","0","0"
"0xb609099b6bbab96b126d2542a8d521d6ecf448f0","5","7.97","0.70","802.69","1","100.00","0","93","0.000008865453515749522","0","0","0","0","0"
"0xf46b5e722000087b0f72521c465f712cbd41956e","15","7.71","6.56","15542.63","1","100.00","0","28","0","1","-887272","887272","0","0"
"0x1852cb2d91b0b367fcbdb809bd35cac4841b2a1a","15","7.70","28.10","44417.04","3","100.00","0","5","0","0","0","0","0","0"
"0x43a996fa50d2f378d707aca9ddcde1c30cb68f63","10","7.63","2.17","5199.61","1","100.00","0","27","8.285762409521169e-7","0","0","0","0","0"
"0x66a0f5491c5ace4e491fb8a90da3af1c2b9ac233","5","7.34","8.82","2342.37","4","83.25","48","70","0.0000070235345206448585","0","0","0","0","0"
"0xf55a8bee48aee922002d1cf6027f242c8f50b424","15","7.33","9.05","22536.23","2","77.00","0","8","0","0","0","0","0","0"
"0x66a0f5491c5ace4e491fb8a90da3af1c2b9ac233","10","6.77","0.43","2343.84","1","100.00","0","18","0","0","0","0","0","0"
"0x52bfb207e6d54e95e308719449ce7e02d631bf65","5","6.52","0.05","19.09","3","85.00","0","64","0","0","0","0","0","0"
"0xc95b2251eea54985aabff294780c4e8ff32c1b16","5","6.10","26.83","40167.65","1","97.00","0","86","0","0","0","0","0","0"
"0x977762a5d4f5b334ffe4eb4f05b2c6847ff7348d","5","6.10","17.88","53481.17","1","100.00","0","28","0","0","0","0","0","0"
"0x16f562fb6587a19e19761654adb195f8bc879b5d","5","6.02","28.94","16108.91","2","74.00","22","129","0.00003850113317049875","0.5","-443636","443636","0","0"
"0xb0bada5d45d939a03c6d211d24a61a4418d7cd13","5","5.88","153.60","7994.64","62","87.82","12","45","0","1","-872962.7903225806","872976.5322580645","0","0"
"0x6f27486b6c9a7a7fef4a6186aa9c0ba746a5a0dd","5","5.83","0.52","223.47","3","100.00","294","27","0","0","0","0","0","0"
"0x1852cb2d91b0b367fcbdb809bd35cac4841b2a1a","5","5.79","78.00","19139.73","3","56.00","15","44","0","0","0","0","0","0"
"0xf9d4fd46e2d1435e7bac9bcee6fa9536e76e5101","5","5.76","0.20","43.00","5","88.60","165","137","0","0","0","0","0","0"
"0x10eb84abd429fa4df8dcabbc7c2803822a5b82d9","15","5.52","2.27","14982.10","1","100.00","0","2","0","0","0","0","0","0"
"0xacf89c236462a336917817b1d91fde5488ffb3ac","5","5.42","1.78","4097.04","2","100.00","0","11","1.0048555321162667e-7","0","0","0","0","0"
"0x4aa63e8115c5b29a3e0e062a77c11592931453dc","5","5.36","1.21","2743.01","1","100.00","0","49","0","1","-887272","887272","0","0"
"0xaf41166ae5af9474ceba8de0af03a053a110ffac","5","5.09","3.78","1673.61","4","96.00","0","78","0","0","0","0","0","0"
"0x7617452156f474836604c1a79c79c0627be5fe74","5","5.04","3.73","2564.43","5","98.00","207","57","0","0","0","0","0","0"
"0xf55a8bee48aee922002d1cf6027f242c8f50b424","10","4.98","3.10","22693.10","1","0.00","0","1","0.000013338803106499597","0","0","0","0","0"
"0x0b776552c1aef1dc33005dd25acda22493b6615d","5","4.81","1.75","1501.66","3","93.67","0","48","0","0","0","0","0","0"
"0xbebc55b616c3224c102566e7214fe5615ec4f605","15","4.76","0.19","1441.01","1","100.00","0","16","0","0","0","0","0","0"
"0xa100fa6fada1be2041a20ba80c11e8f370c9306b","10","4.53","0.19","764.57","1","100.00","0","45","0","0","0","0","0","0"
"0xc5fdfa344d08e032b77d650bd4f0dbf508349542","10","4.48","8.21","66823.15","1","100.00","0","10","5.770657396375611e-7","0","0","0","0","0"
"0x95aa6cf80aa61c3433215c7b8330c065ed29ce97","10","4.45","0.38","315.96","2","68.00","0","90","0","0","0","0","0","0"
