id,tick_lower,tick_upper,ticks,deposited_token0,deposited_token1,collected_token0,collected_token1,total_deposited_usd,total_profit_usd,apr_30d,apr,in_range,in_range_swaps,impermanent_loss,price_lower,price_upper,price_range,price_mid,wallet,auto_rebalance,cutoff_tick_low,cutoff_tick_high,buffer_ticks_below,buffer_ticks_above,tick_spaces_below,tick_spaces_above,dust_bp
"110159","-276357","-276356","1","92.985799279411199024","144.714969","0","237.402139","237.7007682794112","0.8495841899946271","10.72","130.46","76","0","NaN","0.0000","0.0000","0.0000","0.0000","0x664d8f8f2417f52cbbf5bd82ba82eefc58a87f07","0","0","0","0","0","0","0","0"
"172140","-276341","-276340","1","481.93888902367364841","2313.811823","2799.767724782152529355","0","2795.7507120236737","9.30988867232484","9.99","121.55","64","0","9.752987861766371e-7","0.0000","0.0000","0.0000","0.0000","0xf47856c417b9cb17ac257de2ae86d39018022f9d","true","-887272","887272","0","0","0","0","100"
"137410","-276229","-276228","1","28.210422651889399527","59.284969","86.932740624991192574","0","87.49539165188939","0.28586156144746305","9.80","119.25","69","0","NaN","0.0000","0.0000","0.0000","0.0000","0x97b73b8eaa8662381383a67e0dbcab67f78337dd","0","0","0","0","0","0","0","0"
"146394","-276344","-276325","19","59.938579636988092758","200.363727","205.529038218308367975","54.928292","260.3023066369881","0.7011291535312452","8.08","98.31","92","0","NaN","0.0000","0.0000","0.0000","0.0000","0xdb09194d9ca57ae286ecdb0b423e832306b8fbe4","0","0","0","0","0","0","0","0"
"206987","-276354","-276353","1","15.681217676051821592","38.780377","32.582289391868123761","21.928945","54.461594676051824","0.12767748873191453","7.03","85.57","100","0","1.8013757152601784e-8","0.0000","0.0000","0.0000","0.0000","0x5b68b0e0d01b47e66a5ee927a0c556f53d13225b","0","0","0","0","0","0","0","0"
"80320","-276361","-276348","13","14.838026665891007417","14.614664","0","29.412324","29.452690665891005","0.48509414538740586","6.18","75.15","67","0","0.00002615544830719685","0.0000","0.0000","0.0000","0.0000","0xc6685b08b58f23d3c8baff233dfaf264491f5846","0","0","0","0","0","0","0","0"
"80872","-276362","-276347","15","10.667973974096381599","10.498542","0","21.13802","21.166515974096384","0.3322719951487263","5.89","71.62","67","0","NaN","0.0000","0.0000","0.0000","0.0000","0xc6685b08b58f23d3c8baff233dfaf264491f5846","0","0","0","0","0","0","0","0"
"109924","-276366","-276349","17","1.858894611845796981","2.409134","1.055651165237736709","3.209909","4.268028611845796","0.008358865494592754","5.88","71.48","100","0","NaN","0.0000","0.0000","0.0000","0.0000","0x1dcb7879c4d213cb57042c9ee20e6d27ed098ba0","0","0","0","0","0","0","0","0"
"171943","-276341","-276340","1","1473.15581518213830982","15181.689742","16681.026919650914429497","0","16654.84555718214","64.54730683256696","5.81","70.73","61","0","0.00000167314663235274","0.0000","0.0000","0.0000","0.0000","0xf1bc5de15f4b56d9db4b3e6682832547d72844de","0","0","0","0","0","0","0","0"
"164722","-276352","-276327","25","251.444105705821987845","168.870796","252.335467042005203238","167.981032","420.31490170582197","0.7953465868770562","5.68","69.07","100","0","NaN","0.0000","0.0000","0.0000","0.0000","0x28165971e4d592ca6c45a3786786ec2f6b4b8d23","0","0","0","0","0","0","0","0"
