wallet,ticks,apr,total_profit_usd,mid_deposited_usd,rebalances,in_range,rebalances_gap_hours,mid_duration_hours,impermanent_loss_avg,auto_rebalance,vfat_cutoff_tick_low_avg,vfat_cutoff_tick_high_avg,vfat_buffer_ticks_below_avg,vfat_buffer_ticks_above_avg
"0xdb09194d9ca57ae286ecdb0b423e832306b8fbe4","19","98.31","0.70","260.30","1","92.00","0","20","0","0","0","0","0","0"
"0xf47856c417b9cb17ac257de2ae86d39018022f9d","1","75.91","10.45","2086.09","2","68.50","0","14","5.307664752152164e-7","1","-887272","887272","0","0"
"0xc6685b08b58f23d3c8baff233dfaf264491f5846","15","71.62","0.33","21.17","1","67.00","0","174","0","0","0","0","0","0"
"0x1dcb7879c4d213cb57042c9ee20e6d27ed098ba0","17","71.48","0.01","4.27","1","100.00","0","22","0","0","0","0","0","0"
"0x28165971e4d592ca6c45a3786786ec2f6b4b8d23","25","69.07","0.80","420.31","1","100.00","0","5","0","0","0","0","0","0"
"0xc6685b08b58f23d3c8baff233dfaf264491f5846","13","57.54","3.16","120.81","3","65.00","0","150","0","0","0","0","0","0"
"0xd59d144d471e47f1f4b965298ff65140ddd91fbd","110","52.46","173.67","40279.20","1","73.00","0","67","0","0","0","0","0","0"
"0x5b68b0e0d01b47e66a5ee927a0c556f53d13225b","1","42.78","0.13","3123.15","2","100.00","0","11","0","0","0","0","0","0"
"0xb4427e29283f9dd0430c4fdf094795768f5158ca","2","38.02","1.48","1424.09","1","100.00","0","16","0","0","0","0","0","0"
"0xfe6a62402ef058d33795e1f6f41fe2637e65fa77","3","33.00","0.05","55.52","1","100.00","0","0","0","0","0","0","0","0"
"0xd050e74eab1acbe57b48e762e3506b5c51cd314d","2","32.57","1.44","804.34","2","100.00","0","15","4.574420064962226e-7","1","-887272","887272","0","0"
"0xa7bf8f67045ef716ee87ded1faadff10f226c02d","3","28.46","0.11","71.59","1","90.00","0","40","4.4436874180320274e-7","1","-887272","887272","0","0"
"0xb30b74b2441f519d28cc78a16eae3603cd7822f0","4","20.52","7.07","6292.05","1","78.00","0","39","0","0","0","0","0","0"
"0x154b4661a08eaffc746bdf7451a17ee50ee904cf","1","20.08","0.50","316.39","2","60.50","0","9","5.099186684009993e-7","0","0","0","0","0"
"0x28165971e4d592ca6c45a3786786ec2f6b4b8d23","4","19.49","0.48","335.18","2","85.00","4","19","0.0000017008554509256868","0","0","0","0","0"
"0x4e151f37cc3355df367031d7c667d168555901d6","8","19.10","0.27","521.75","1","42.00","0","24","0","0","0","0","0","0"
"0x58c4f03a954e4cbb1b8e204a881a8e9a99d015dd","1","18.93","6.12","5789.39","2","40.50","0","16","0.0000011449373782390637","0","0","0","0","0"
"0x27467efdeca3af0c193dff4669cc4c10f5b981f0","50","18.83","0.26","506.04","1","100.00","0","2","0","0","0","0","0","0"
"0x2294373be13bf67ab063010c29b3901677b7b067","4","18.73","0.51","992.46","1","100.00","0","1","0","1","-887272","887272","0","0"
"0xcb8db65e9aefbb6386cc5b757516412b79067004","1","17.72","0.50","502.32","2","84.00","236","15","0","0","0","0","0","0"
"0x28165971e4d592ca6c45a3786786ec2f6b4b8d23","6","15.57","0.35","425.78","2","78.50","2","10","0","0","0","0","0","0"
"0xf1bc5de15f4b56d9db4b3e6682832547d72844de","1","14.12","178.06","16810.82","19","82.79","5","11","5.808231089070815e-10","0","0","0","0","0"
"0x5ebb8663b9d213026ad9776dba264c3ef1a40f37","322","13.72","6.27","1042.46","1","73.00","0","365","0","0","0","0","0","0"
"0x60583f22ada7b1352bb2faf694b3eaaf942696dd","6","11.88","0.04","44.98","1","51.00","0","69","0","0","0","0","0","0"
"0x3c9c796c1952ef0dac2a0c3419b2fd93c7fea15b","3","11.76","0.32","1002.18","1","79.00","0","8","3.9636716131496996e-8","1","-887272","887272","0","0"
"0x664d8f8f2417f52cbbf5bd82ba82eefc58a87f07","1","11.74","365.02","46945.65","26","60.77","13","14","0","0","0","0","0","0"
"0x97b73b8eaa8662381383a67e0dbcab67f78337dd","5","11.66","0.45","1413.79","1","83.00","0","19","0","0","0","0","0","0"
"0xa7bf8f67045ef716ee87ded1faadff10f226c02d","1","11.59","0.25","71.56","11","69.27","40","7","0","1","-887272","887272","0","0"
"0x97b73b8eaa8662381383a67e0dbcab67f78337dd","1","10.86","133.43","23820.29","27","75.30","36","9","1.329486849828472e-8","0","0","0","0","0"
"0x66ef68dae8c5417366311b3e3dc0b426ba16ca13","1","10.37","0.15","530.80","1","52.00","0","23","0.000001537611560298302","0","0","0","0","0"
"0x28165971e4d592ca6c45a3786786ec2f6b4b8d23","5","10.14","0.39","419.80","2","98.00","16","18","0","0","0","0","0","0"
"0x3c9c796c1952ef0dac2a0c3419b2fd93c7fea15b","10","9.78","0.27","997.04","1","100.00","0","9","4.369746786636597e-8","0","0","0","0","0"
"0x154b4661a08eaffc746bdf7451a17ee50ee904cf","4","9.71","0.26","490.49","1","100.00","0","28","7.3655748167311685e-9","1","-887272","887272","0","0"
"0xb0bada5d45d939a03c6d211d24a61a4418d7cd13","2","9.35","9.14","7960.23","4","61.75","462","8","8.099559911656229e-9","1","-887272","887272","0","0"
"0xc39afd8c9eacb1c95c14e4ba1d3489b55c392570","1","8.78","0.06","259.61","1","100.00","0","0","7.586449801699757e-7","0","0","0","0","0"
"0x4334703b0b74e2045926f82f4158a103fce1df4f","4","8.69","155.76","38653.99","3","36.67","45","43","6.174801410926042e-10","0","0","0","0","0"
"0x3c9c796c1952ef0dac2a0c3419b2fd93c7fea15b","40","8.42","0.46","1000.06","2","100.00","32","2","4.819434074043727e-7","0.5","-443636","443636","0","0"
"0x93b82c49c2af67797977ae344c07884164e6a592","1","8.16","0.01","52.16","1","87.00","0","1","0","0","0","0","0","0"
"0x3c9c796c1952ef0dac2a0c3419b2fd93c7fea15b","100","7.80","0.21","1002.91","1","100.00","0","1","0","1","-887272","887272","0","0"
"0x7617452156f474836604c1a79c79c0627be5fe74","3","7.78","14.92","9494.18","5","50.60","67","22","0","0","0","0","0","0"
"0x29991b99815c3a97194445b19145b4b622bffd28","1","7.26","4.97","5001.06","5","89.80","0","11","1.0625458068957983e-7","0","0","0","0","0"
"0x939c802836eb9018e4a9aeb89c638dfd89b4c462","2","7.12","5.96","15270.52","1","100.00","0","39","9.036975612275455e-8","1","-887272","887272","2","2"
"0x5370b3ca55bb561e7bc050c81848873b9bcebbec","1","6.56","0.82","1057.61","4","94.00","0","9","0","0","0","0","0","0"
"0x96f245034302a5a582a1d8e989a754e6e2260bf5","2","6.47","0.57","1079.27","1","98.00","0","71","0","0","0","0","0","0"
"0x2294373be13bf67ab063010c29b3901677b7b067","1","6.45","0.35","992.46","2","95.50","0","5","0","1","-887272","887272","0","0"
"0x28165971e4d592ca6c45a3786786ec2f6b4b8d23","17","6.42","0.19","535.79","1","62.00","0","29","2.3741815180500225e-7","0","0","0","0","0"
"0xed78afd8acba4b56703c4c0ac6cdfa6b7433c1aa","1","6.36","8.72","50058.27","1","100.00","0","15","7.154627890137988e-7","0","0","0","0","0"
"0x154b4661a08eaffc746bdf7451a17ee50ee904cf","3","6.36","0.09","496.01","1","30.00","0","3","3.1753710771909027e-9","1","-887272","887272","0","0"
"0xd33a97de61e09d26937dd8cf5f7fb511b82ddcc6","10","6.14","0.13","392.60","1","100.00","0","48","0","0","0","0","0","0"
"0xacf89c236462a336917817b1d91fde5488ffb3ac","1","6.10","0.00","5.26","1","100.00","0","4","0","0","0","0","0","0"
"0xe129b33bf847531bc898f30806ae7ba1e75ddf59","1","6.02","0.05","154.04","1","75.00","0","25","9.304311099356255e-7","0","0","0","0","0"
"0xfd1d918196c4586a7d58cb75f1acae330ff5f348","2","5.81","0.15","240.40","1","88.00","0","75","0.000002889341665923695","0","0","0","0","0"
"0xac55759ea0df2067c3b9723eac3896ef4fd31f49","2","5.28","0.01","38.86","1","61.00","0","18","0","0","0","0","0","0"
"0xfff81df58b94d3d4a4e07a77d6bf2f5c3034b092","2","5.27","0.05","63.74","1","1.00","0","101","0","0","0","0","0","0"
"0xbee3d63539911929c671e6c39d1be5a0eaaaa6c7","1","5.15","0.28","1001.07","1","89.00","0","27","0","0","0","0","0","0"
"0x1bc8c6c06a43e3fbb2ebc613e0ebc0ecb95b5937","1","5.10","239.91","68391.89","15","54.27","0","58","0","0","0","0","0","0"
"0x3bee932e51d6306e3a3d8725ad7cc133a0b0fc5e","1","5.02","3.31","3998.81","4","84.25","88","7","0","1","-887272","887272","0","0"
"0xd050e74eab1acbe57b48e762e3506b5c51cd314d","3","4.81","0.21","801.25","2","97.00","0","2","2.5741334619411305e-7","0.5","-443636","443636","0","0"
"0xb0bada5d45d939a03c6d211d24a61a4418d7cd13","1","4.79","897.51","10296.30","655","81.97","3","6","0","0","0","0","0","0"
"0x6b73f63cf407beb818d011b0f1ea144ffa56fb7b","5","4.64","2.05","8066.61","1","97.00","0","33","0","0","0","0","0","0"
"0x4334703b0b74e2045926f82f4158a103fce1df4f","3","4.63","0.82","646.31","1","83.00","0","219","0","0","0","0","0","0"
"0x3c9c796c1952ef0dac2a0c3419b2fd93c7fea15b","1","4.47","0.19","754.70","2","95.50","0","8","2.7392265122827553e-7","1","-887272","887272","0","0"
"0x7617452156f474836604c1a79c79c0627be5fe74","2","4.40","44.32","8853.93","27","78.41","25","20","0","0","0","0","0","0"
"0x4334703b0b74e2045926f82f4158a103fce1df4f","9","4.26","8.94","38294.45","1","87.00","0","43","1.6966361648940165e-8","0","0","0","0","0"
"0x227f982ea2d57ce251bb5bb39a41629f818ff834","2","4.19","0.03","287.30","1","100.00","0","0","2.0560335656227835e-7","0","0","0","0","0"
"0x154b4661a08eaffc746bdf7451a17ee50ee904cf","2","4.15","0.79","1024.31","4","85.50","20","18","5.159897148443449e-7","1","-887272","887272","0","0"
"0x96f245034302a5a582a1d8e989a754e6e2260bf5","1","4.11","3.32","3025.93","5","55.20","0","28","0","0","0","0","0","0"
"0x66c0d9152209b51977047b9dc3b0b5bf2339b67c","1","4.01","1.12","5097.60","2","42.50","8","5","0","0.5","-138212.5","-137685.5","0.5","0.5"
"0xad14641448a909cc0dec88c0a0543e7e9fe3a581","1","3.94","0.94","8724.86","1","100.00","0","5","8.944116558495807e-8","1","-887272","887272","0","0"
"0xdcc5b9ba5ab98dc38477831ff359d81f911423eb","2","3.85","2.09","2687.42","2","85.50","0","22","9.504625142486844e-7","0","0","0","0","0"
"0xf0e6ab264de1b35979f71a9084ad4e23d42aa3c0","1","3.67","0.08","183.54","5","73.40","0","12","0.00013154413544880228","0","0","0","0","0"
"0xf50ba81a48d10ff5ddb1beef871008e1ddc4aaee","1","3.58","0.43","1206.90","3","39.33","2","14","0.0000018489599333075073","0","0","0","0","0"
"0xfa1457caf448c66ce3c2e619ccd4fcfd317b61f6","1","3.54","6.09","497.73","107","47.80","0","8","0","0","0","0","0","0"
"0x86462590436713cf5292ae561ebaa94f75cd6e07","1","3.46","6.79","5453.82","11","73.73","53","9","0","0","0","0","0","0"
"0x83fe9748fac353106c5c988b93ce229f895e0b02","2","3.41","0.08","859.17","1","100.00","0","8","0","0","0","0","0","0"
"0xf50ba81a48d10ff5ddb1beef871008e1ddc4aaee","2","3.33","0.39","1087.77","2","93.50","2","37","0","0","0","0","0","0"
"0x83fe9748fac353106c5c988b93ce229f895e0b02","1","3.27","10.08","12917.05","7","82.71","128","20","0","0","0","0","0","0"
"0x729aab0dcf1f346e6bbaaaac9c6d3a1f07997165","5","3.23","0.79","2972.84","1","100.00","0","62","0","0","0","0","0","0"
"0xef8fc0eb8d482d69ff9ac662117b927aab18ee18","5","3.14","16.21","47072.82","1","84.00","0","95","0","0","0","0","0","0"
"0x1265156d15eccf173f39c41bbe028c95cc420388","1","3.13","42.82","50136.33","7","62.14","0","22","0","0","0","0","0","0"
"0xb30b74b2441f519d28cc78a16eae3603cd7822f0","3","3.02","0.40","4795.24","1","49.00","0","12","0.00000214056807834595","0","0","0","0","0"
"0x9252c1a75e3cae382ac6c8fffa4e21c87ad95fab","2","2.96","0.01","93.56","1","41.00","0","2","0.0000014996707653480712","0","0","0","0","0"
"0x97b73b8eaa8662381383a67e0dbcab67f78337dd","3","2.93","4.89","20669.17","2","100.00","337","9","0","0","0","0","0","0"
"0xd550ac5225eddc5ae90730bc2ef7d334cd9bd4b4","10","2.86","0.43","786.50","1","81.00","0","167","0.000013279215904660191","0","0","0","0","0"
"0x7617452156f474836604c1a79c79c0627be5fe74","4","2.72","15.85","10818.12","5","87.60","53","47","0","0","0","0","0","0"
"0x4334703b0b74e2045926f82f4158a103fce1df4f","5","2.70","0.11","248.61","1","93.00","0","127","0.000004270333875400212","0","0","0","0","0"
"0xf3b8d66a259e3f2adfdf51913b553ae4d4215e06","2","2.56","0.01","67.81","1","94.00","0","41","0.0000013417144506533418","0","0","0","0","0"
"0xef8fc0eb8d482d69ff9ac662117b927aab18ee18","2","2.55","6.58","47079.67","1","59.00","0","39","6.201719471299327e-7","0","0","0","0","0"
"0xf9c29c8fd2c62b7e0ca1dc0b928d980ab9a2f244","5","2.55","0.09","321.86","1","54.00","0","89","0.000005625348931115326","0","0","0","0","0"
