wallet	ichi_vault	apr	deposit_asset0	deposit_asset1	deposit_value	reward_value	total_days	deposit_time
0x23cd671c5fb77251579ae915dc3581bf099338ee	0xd3a997d00ff56a631924b85bfcd44dd80ae00a6b	92.8800	frxUSD	scUSD	5.64549	1.13388	78.93	25/02/11 21:02:00
0x51246a6da89985fe7ec33b8c3a81549492d94d4d	0xd3a997d00ff56a631924b85bfcd44dd80ae00a6b	64.6800	frxUSD	scUSD	454.005	0.388084	0.4824	25/05/01 8:05:00
0xcbfd2e80a7c1fc629c77ce8be028b03bb668ca35	0xd3a997d00ff56a631924b85bfcd44dd80ae00a6b	63.1700	frxUSD	scUSD	937.246	0.213459	0.1316	25/05/01 16:05:00
0xb7bb43e68b41ed173c29c8869ac90a18c551c598	0xd3a997d00ff56a631924b85bfcd44dd80ae00a6b	51.6100	frxUSD	scUSD	28.6816	0.135378	3.338	25/04/28 11:04:00
0x2285a67d53e22d3170d308956c8b42714c44f633	0xd3a997d00ff56a631924b85bfcd44dd80ae00a6b	34.5300	frxUSD	scUSD	283.128	2.11949	7.913	25/04/23 21:04:00
0x4f4b9492392b88a1d21611575b732428a1bedea6	0xd3a997d00ff56a631924b85bfcd44dd80ae00a6b	34.2600	frxUSD	scUSD	1815.57	13.1837	7.737	25/04/24 2:04:00
0x09d4f43eae86a2d653a0aa9509cb68c0873a5b66	0xd3a997d00ff56a631924b85bfcd44dd80ae00a6b	31.9400	frxUSD	scUSD	160.358	1.90695	13.59	25/04/18 5:04:00
0x4e430992db6f3bddbc6a50d1513845f087e9af4a	0xd3a997d00ff56a631924b85bfcd44dd80ae00a6b	28.9400	frxUSD	scUSD	5.26278	0.0337959	8.100	25/04/23 17:04:00
0x3aa4fa3490cbe402160013df4c001f0c8bffa58f	0xd3a997d00ff56a631924b85bfcd44dd80ae00a6b	27.9100	frxUSD	scUSD	0.356286	0.0100948	37.06	25/03/25 18:03:00
0xedc3ac9e8553c7739d89b9150ad2e92d1580a0be	0xd3a997d00ff56a631924b85bfcd44dd80ae00a6b	27.6100	frxUSD	scUSD	0.343221	0.00987567	38.04	25/03/24 18:03:00
0x00c6d212501fe3e3a8fc19871ff0ae46c342e5fd	0xb02506cae9fc5bb61e21c11d7e0614cd56f4b131	27.4600	frxUSD	scUSD	6533.62	112.103	22.81	25/04/09 0:04:00
0xd577c5d0a43c6359cc3926d70fc7f48e726fc121	0xb02506cae9fc5bb61e21c11d7e0614cd56f4b131	25.4800	frxUSD	scUSD	0.000865470	0.00000201449	3.334	25/04/28 11:04:00
0x99349957ea9c3c4120751018ab074e79c34e0611	0xb02506cae9fc5bb61e21c11d7e0614cd56f4b131	25.3800	frxUSD	scUSD	193.068	1.64741	12.27	25/04/19 13:04:00
0xb7b9805085d75bc43dfece77af4f7cbe11e7b963	0xb02506cae9fc5bb61e21c11d7e0614cd56f4b131	25.3600	frxUSD	scUSD	0.0712186	0.000177429	3.586	25/04/28 5:04:00
0x7d03b76b3687dd25c10d3e5e6e0b022942173f4c	0xd3a997d00ff56a631924b85bfcd44dd80ae00a6b	24.9400	frxUSD	scUSD	35.8215	1.07238	43.81	25/03/19 0:03:00
0x27d146ce3ff946586ec97103d7a72c2edab547ca	0xd3a997d00ff56a631924b85bfcd44dd80ae00a6b	23.7700	frxUSD	scUSD	9.15396	0.205884	34.54	25/03/28 6:03:00
0xfe522cab313103d7e37c44b2aca2d4725a5f30b7	0xd3a997d00ff56a631924b85bfcd44dd80ae00a6b	22.5900	frxUSD	scUSD	0.815475	0.0296049	58.65	25/03/04 4:03:00
0xba50c66c30b06ef0cb308a62f80ebc86b0634f46	0xd3a997d00ff56a631924b85bfcd44dd80ae00a6b	22.0300	frxUSD	scUSD	183.373	6.68122	60.38	25/03/02 10:03:00
0xc50b3391986525a48c7ce0638bacad4c34c77863	0xd3a997d00ff56a631924b85bfcd44dd80ae00a6b	20.6900	frxUSD	scUSD	56.8860	2.40160	74.49	25/02/16 8:02:00
0x88888887c3ebd4a33e34a15db4254c74c75e5d4a	0xb02506cae9fc5bb61e21c11d7e0614cd56f4b131	20.5300	frxUSD	scUSD	0.00159217	0.0000439555	49.09	25/03/13 17:03:00
0xe261b8f29db610a48b3d95add16a13dd077befd0	0xd3a997d00ff56a631924b85bfcd44dd80ae00a6b	20.4000	frxUSD	scUSD	92.7547	3.60719	69.59	25/02/21 5:02:00
0x83943a422b5ec0be815ca5c9adc4a39a00097920	0xb02506cae9fc5bb61e21c11d7e0614cd56f4b131	19.4100	frxUSD	scUSD	2.57248	0.104271	76.23	25/02/14 14:02:00
0xc3533ffeb9386dc0c2bffaece7e15a6c40b9636a	0xd3a997d00ff56a631924b85bfcd44dd80ae00a6b	18.1100	frxUSD	scUSD	61.6249	0.450457	14.73	25/04/17 2:04:00
0x27b5491b519e72ce52f0dc9ccc9d7dc3d1e7b964	0xb02506cae9fc5bb61e21c11d7e0614cd56f4b131	17.9300	frxUSD	scUSD	640.437	23.5355	74.83	25/02/15 23:02:00
0x94da80bea0b846e8d029a72c791f5c4a6ac5b023	0xb02506cae9fc5bb61e21c11d7e0614cd56f4b131	17.6300	frxUSD	scUSD	1.78603	0.0636997	73.83	25/02/16 23:02:00
0x1eea48d8c225063bede40e4b511edc9d600d42c9	0xb02506cae9fc5bb61e21c11d7e0614cd56f4b131	17.3900	frxUSD	scUSD	22.0747	0.708457	67.35	25/02/23 11:02:00
0xffcf88f306a794cadd44675a1da50a5842f0ec2e	0xb02506cae9fc5bb61e21c11d7e0614cd56f4b131	17.3800	frxUSD	scUSD	0.0000574063	0.00000188141	68.81	25/02/22 0:02:00
0x8b6bbe943259e12885529e4d340a0a5822f8d337	0xb02506cae9fc5bb61e21c11d7e0614cd56f4b131	17.3300	frxUSD	scUSD	64.5811	2.21891	72.36	25/02/18 11:02:00
0x0704662f8bddd35199e315efbe8514d76e499d25	0xb02506cae9fc5bb61e21c11d7e0614cd56f4b131	17.2000	frxUSD	scUSD	64.4543	2.14873	70.76	25/02/20 1:02:00
0x1c96554bfc81c329361c0918f6f8985ae28acdfd	0xb02506cae9fc5bb61e21c11d7e0614cd56f4b131	16.4600	frxUSD	scUSD	11506.5	388.436	74.87	25/02/15 22:02:00
0x1b648ade1ef219c87987cd60eba069a7faf1621f	0xb02506cae9fc5bb61e21c11d7e0614cd56f4b131	15.7700	frxUSD	scUSD	0.000796492	0.0000261196	75.92	25/02/14 21:02:00
0x68685789852f46d600472357271b581a7923321f	0xd3a997d00ff56a631924b85bfcd44dd80ae00a6b	15.2300	frxUSD	scUSD	7685.50	46.2695	14.43	25/04/17 9:04:00
0x392a8341857bbb0d54187b32f250142066b74c75	0xd3a997d00ff56a631924b85bfcd44dd80ae00a6b	15.1800	frxUSD	scUSD	11339.1	67.9630	14.41	25/04/17 10:04:00
0xf46ccc8c1055b5ebc65d7d3d5c3c95f61131030a	0xb02506cae9fc5bb61e21c11d7e0614cd56f4b131	12.4200	frxUSD	scUSD	32.2002	0.152365	13.91	25/04/17 22:04:00
0x52980733727fa2a79030331fecad99a7a3e5c5b3	0xd3a997d00ff56a631924b85bfcd44dd80ae00a6b	12.2900	frxUSD	scUSD	9.27173	0.196422	62.90	25/02/27 22:02:00
0x6b73f63cf407beb818d011b0f1ea144ffa56fb7b	0xb02506cae9fc5bb61e21c11d7e0614cd56f4b131	11.4500	frxUSD	scUSD	6919.94	107.862	49.67	25/03/13 3:03:00
0x046ab1a1adc63a9cc81a4db68f7a7623ad1ab092	0xb02506cae9fc5bb61e21c11d7e0614cd56f4b131	11.2700	frxUSD	scUSD	0.000403398	0.00000946177	75.94	25/02/14 21:02:00
0x4a4cff9e08aa54a138b58d34b9b24b94a0a0a310	0xb02506cae9fc5bb61e21c11d7e0614cd56f4b131	10.5200	frxUSD	scUSD	1952.15	42.2983	75.20	25/02/15 15:02:00
0x7f7f6c971c5a12b3c45aadc2b3af956daf4e46ea	0xb02506cae9fc5bb61e21c11d7e0614cd56f4b131	10.3900	frxUSD	scUSD	12.6162	0.226018	62.91	25/02/27 21:02:00
0x0577e2466b7e5fae55fdc6389f514969779e2563	0xd3a997d00ff56a631924b85bfcd44dd80ae00a6b	10.0700	frxUSD	scUSD	2867.08	29.3036	37.04	25/03/25 18:03:00
0x683f511df0bdbb80347c4e04e1cc0195c288eb0c	0xd3a997d00ff56a631924b85bfcd44dd80ae00a6b	7.21000	frxUSD	scUSD	5453.58	2.36575	2.196	25/04/29 15:04:00
0x78815067c3926cc33f7790d87460bec779f42d4d	0xb02506cae9fc5bb61e21c11d7e0614cd56f4b131	5.21000	frxUSD	scUSD	660.153	6.72329	71.33	25/02/19 11:02:00
0x9ec823021f2d4e83f6d67b66e053376513fb6832	0xb02506cae9fc5bb61e21c11d7e0614cd56f4b131	4.83000	frxUSD	scUSD	1229.51	3.12183	19.18	25/04/12 15:04:00
0xc1c21909510e49fe2b4c774476ba7d4e371f98fc	0xd3a997d00ff56a631924b85bfcd44dd80ae00a6b	3.76000	frxUSD	scUSD	9467.71	2.19466	2.249	25/04/29 13:04:00
0x210c09b2390ee03ee86dd8bb736bda2f31aab57f	0xb02506cae9fc5bb61e21c11d7e0614cd56f4b131	3.35000	frxUSD	scUSD	583.163	4.00017	74.83	25/02/15 23:02:00
0xe4234325e9166b40c9a36f34c4d092cbde01394b	0xd3a997d00ff56a631924b85bfcd44dd80ae00a6b	3.10000	frxUSD	scUSD	1164.24	2.30258	23.30	25/04/08 12:04:00
0xeee57da75341fe4a8bf4b81aa7bfba58c28c588b	0xd3a997d00ff56a631924b85bfcd44dd80ae00a6b	2.92000	frxUSD	scUSD	82.6857	0.149235	22.54	25/04/09 6:04:00
0x186b12ceaf08fde22e32647fcc800e45876f5bd0	0xd3a997d00ff56a631924b85bfcd44dd80ae00a6b	2.84000	frxUSD	scUSD	283.156	1.59764	72.58	25/02/18 5:02:00
0x3021338c74f10cef1ece6404ac1498c2559f7a5c	0xd3a997d00ff56a631924b85bfcd44dd80ae00a6b	2.62000	frxUSD	scUSD	1306.94	5.29729	56.42	25/03/06 9:03:00
0x0d9ef552fcdcce02b0d8b29152fe70700211354c	0xb02506cae9fc5bb61e21c11d7e0614cd56f4b131	2.29000	frxUSD	scUSD	276.781	1.25335	72.06	25/02/18 18:02:00
0x6cc699b6a30dc0d7f4ce57e5d32944ceee44676e	0xb02506cae9fc5bb61e21c11d7e0614cd56f4b131	2.29000	frxUSD	scUSD	276.787	1.25273	72.05	25/02/18 18:02:00
0xe9a71041a30aa685d19164561d699a8f33fa0730	0xd3a997d00ff56a631924b85bfcd44dd80ae00a6b	2.11000	frxUSD	scUSD	5661.43	25.3819	77.70	25/02/13 3:02:00
0x44aa86b5716a8ddc28edfe53e54a270b6aaebc5c	0xd3a997d00ff56a631924b85bfcd44dd80ae00a6b	1.77000	frxUSD	scUSD	34.1334	0.110680	66.97	25/02/23 20:02:00
0x77777020820b2d68144a1c37447e5bf6b1902dee	0xb02506cae9fc5bb61e21c11d7e0614cd56f4b131	0.760000	frxUSD	scUSD	1285.66	1.21047	45.03	25/03/17 19:03:00
0x5b9147976d5f1046c78e1ef035a609471cd92dea	0xd3a997d00ff56a631924b85bfcd44dd80ae00a6b	0.660000	frxUSD	scUSD	2833.21	0.675434	13.28	25/04/18 13:04:00
0x76ccb2055aad77de1ed59a08567b61431eea2bbe	0xd3a997d00ff56a631924b85bfcd44dd80ae00a6b	0.560000	frxUSD	scUSD	533.505	0.146057	17.99	25/04/13 20:04:00
0x100e3a6837555104c64d2cf5d71ba20b0eb3e193	0xb02506cae9fc5bb61e21c11d7e0614cd56f4b131	0.350000	frxUSD	scUSD	295821	203.173	72.61	25/02/18 5:02:00
0x95e6bf33e6460b76a6728175f0910539f83c96ee	0xb02506cae9fc5bb61e21c11d7e0614cd56f4b131	0.130000	frxUSD	scUSD	37001.7	6.69594	49.07	25/03/13 18:03:00
0x1f6a1480e1b2e11fdddb7773e44753caa0679b84	0xd3a997d00ff56a631924b85bfcd44dd80ae00a6b	0.0400000	frxUSD	scUSD	191.456	0.00518541	23.54	25/04/08 6:04:00
