wallet,ichi_vault,apr,total_days,deposit_value,reward_value,deposit_time,deposit_asset0,deposit_asset1
"0x75a6ac9f5a57e477c3bb7a94c69375c05ede11bd","0x7c0e966462208ddbc7bc7621a458aa09c0e4a525","125.73","29","0.46","0.0441","25/04/07 23:04:00","USDC.e","USDT"
"0x3c5aac016ef2f178e8699d6208796a2d67557fe2","0x7c0e966462208ddbc7bc7621a458aa09c0e4a525","43.97","3","15685.18","56.6799","25/03/17 20:03:00","USDCe","USDT"
"0x5e552e0a1f107b225116b525f0fbfe887d332068","0x7c0e966462208ddbc7bc7621a458aa09c0e4a525","39.08","1","5226.70","5.5967","25/02/13 20:02:00","USDCe","USDT"
"0xaf0a8f9d53ff4f6b2c9305988b5c64d0d9a49ca0","0x7c0e966462208ddbc7bc7621a458aa09c0e4a525","38.52","1","1163.82","1.2282","25/02/13 20:02:00","USDCe","USDT"
"0x8a30fe8dd7c1b8ee6fff8892731ed345b9e33b29","0x7c0e966462208ddbc7bc7621a458aa09c0e4a525","36.37","1","2998.80","2.9881","25/02/13 21:02:00","USDCe","USDT"
"0x9f50a7faed597f24ac09ff084de7c53fcca8db97","0x7c0e966462208ddbc7bc7621a458aa09c0e4a525","30.21","4","500.00","1.6551","25/02/13 20:02:00","USDCe","USDT"
"0x23c043a293b302e146aa9fcf9a9ca937b895dd56","0x7c0e966462208ddbc7bc7621a458aa09c0e4a525","22.11","4","828.40","2.0072","25/02/13 23:02:00","USDCe","USDT"
"0x97b73b8eaa8662381383a67e0dbcab67f78337dd","0x7c0e966462208ddbc7bc7621a458aa09c0e4a525","20.30","1","90397.70","50.2739","25/02/13 20:02:00","USDCe","USDT"
"0xabea63c0967f2f5faf4b262c0104233ab5a56ac8","0x7c0e966462208ddbc7bc7621a458aa09c0e4a525","18.35","4","21989.14","44.2251","25/02/14 00:02:00","USDCe","USDT"
"0x0f1ff2019f5a0fbd27ca9a4b8dc5ca195d45a0d9","0x7c0e966462208ddbc7bc7621a458aa09c0e4a525","18.23","1","32531.75","16.2447","25/02/13 21:02:00","USDCe","USDT"
"0x0f26d183a01ae083c82ca5464193193061d1fbde","0x7c0e966462208ddbc7bc7621a458aa09c0e4a525","17.92","3","6347.13","9.3485","25/02/14 14:02:00","USDCe","USDT"
"0x3c948a11c4d5462ace49a505ece7112531b16725","0x7c0e966462208ddbc7bc7621a458aa09c0e4a525","16.26","4","56799.55","101.2194","25/02/14 15:02:00","USDCe","USDT"
"0xd5ea1a99ef5f582713d087c178c3b54894e8dffb","0x7c0e966462208ddbc7bc7621a458aa09c0e4a525","15.36","1","90000.00","37.8797","25/02/17 00:02:00","USDCe","USDT"
"0x09269732fbf0aa03c061e99595639232794f9d8c","0x7c0e966462208ddbc7bc7621a458aa09c0e4a525","14.95","2","100000.00","81.8923","25/02/17 02:02:00","USDCe","USDT"
"0xf74b66ec77a2ce37b6865cfab54eb6484ed131ee","0x7c0e966462208ddbc7bc7621a458aa09c0e4a525","13.64","7","848.11","2.2190","25/02/14 18:02:00","USDCe","USDT"
"0x164572acff302ac81c257299fc5c2a074f069c34","0x7c0e966462208ddbc7bc7621a458aa09c0e4a525","12.82","4","999.10","1.4042","25/02/16 16:02:00","USDCe","USDT"
"0xedeed75328937a17749c1a59772e2ec79eb51314","0x7c0e966462208ddbc7bc7621a458aa09c0e4a525","12.20","6","35000.22","70.2020","25/02/13 23:02:00","USDCe","USDT"
"0x4b2c88573f8f2baee29d5a1b68651afc868475a0","0x7c0e966462208ddbc7bc7621a458aa09c0e4a525","12.14","10","1999.71","6.6494","25/02/14 21:02:00","USDCe","USDT"
