wallet	ichi_vault	apr	total_days	deposit_value	reward_value	deposit_time	deposit_asset0	deposit_asset1
0x32e6565664af93e86e21a91264ee3fc591ea526c	0xf8fa00354778a31cbcc5988ea578a227d3982675	49.66	1	1608.76	2.1889	25/03/13 03:03:00	USDCE	scBTC
0x1a5868f91e6fa2bcbbd25008735bbb8dab597909	0xf8fa00354778a31cbcc5988ea578a227d3982675	46.88	6	1855.81	14.3016	25/04/06 02:04:00	USDCE	scBTC
0xd47b727c775e7cb52944f8c896c694b6ef10b575	0xf8fa00354778a31cbcc5988ea578a227d3982675	46.47	30	1000.00	38.1937	25/04/08 16:04:00	USDCE	scBTC
0x4be31bc593bed9754e286ad2a0609261def7eb0d	0xf8fa00354778a31cbcc5988ea578a227d3982675	44.27	1	1820.39	2.2081	25/03/13 03:03:00	USDCE	scBTC
0x51a773e3d77c5ef1d013ea0fd300f3d35d3ef6e4	0xf8fa00354778a31cbcc5988ea578a227d3982675	44.01	8	686.93	6.6262	25/04/18 13:04:00	USDCE	scBTC
0x76a4caf8b8acc577b99c97e8c324884f8f722408	0xf8fa00354778a31cbcc5988ea578a227d3982675	43.71	3	117.86	0.4235	25/03/13 03:03:00	USDCE	scBTC
0x9cc2611b694dcc926aeb7a741f69d78aa9b58326	0xf8fa00354778a31cbcc5988ea578a227d3982675	40.98	38	22.20	0.9471	25/04/07 01:04:00	USDCE	scBTC
0x1b648ade1ef219c87987cd60eba069a7faf1621f	0xf8fa00354778a31cbcc5988ea578a227d3982675	38.93	57	11098.40	674.6632	25/03/13 03:03:00	USDCE	scBTC
0x82ba77eb696829c1f53c68ce3f21b40419c06c40	0xf8fa00354778a31cbcc5988ea578a227d3982675	38.33	3	502.32	1.5824	25/05/02 10:05:00	USDCE	scBTC
0x1a1e9c7a68e7184f4f103a895b3dc612ee745136	0xf8fa00354778a31cbcc5988ea578a227d3982675	37.86	1	343.54	0.3563	25/03/13 03:03:00	USDCE	scBTC
0x69ebba5e2b429592483b5687a392436ba3ac15b5	0xf8fa00354778a31cbcc5988ea578a227d3982675	36.58	62	150.00	9.3201	25/03/13 15:03:00	USDCE	scBTC
0x2c6c959cc048a4c4749424c6ac8cc094bc066782	0xf8fa00354778a31cbcc5988ea578a227d3982675	36.48	61	733.03	44.6903	25/03/14 14:03:00	USDCE	scBTC
0x3c5aac016ef2f178e8699d6208796a2d67557fe2	0xf8fa00354778a31cbcc5988ea578a227d3982675	35.66	47	974.78	44.7569	25/03/13 04:03:00	USDCE	scBTC
0x4e5a1da2d1df0e1b575492b086309f237e7419e5	0x0631508b6693731dd9f7baea849bf9eec5e74462	35.58	2	12.76	0.0249	25/03/13 03:03:00	USDCE	scBTC
0xe3053ce05c1c256e2d10c9fe92435466bda4101f	0xf8fa00354778a31cbcc5988ea578a227d3982675	35.21	16	336.77	5.1974	25/03/13 05:03:00	USDCE	scBTC
0x4f835aa9c21c13a31a93a8b3a94027c2f3a21d99	0xf8fa00354778a31cbcc5988ea578a227d3982675	35.18	25	1699.00	40.9346	25/04/19 11:04:00	USDCE	scBTC
0x55dd18cc56d77e8ddca31a3599b7f8760be342f1	0x0631508b6693731dd9f7baea849bf9eec5e74462	34.50	1	317.33	0.2999	25/03/13 03:03:00	USDCE	scBTC
0x761c4bb545fc09e2b7ee091810cdc4428c843074	0x0631508b6693731dd9f7baea849bf9eec5e74462	34.28	18	639.59	10.8138	25/04/19 02:04:00	USDCE	scBTC
0xd42a08d2f4cb730ff8485f744abed7368712c112	0xf8fa00354778a31cbcc5988ea578a227d3982675	34.22	6	467.33	2.6285	25/04/23 13:04:00	USDCE	scBTC
0x11d44b21c1f3732a1d34f0078e1ad73750603a61	0x0631508b6693731dd9f7baea849bf9eec5e74462	33.60	8	672.23	4.9506	25/04/21 17:04:00	USDCE	scBTC
0x76b32f589904e78af65b773561133446c77bb70d	0x0631508b6693731dd9f7baea849bf9eec5e74462	33.50	6	75.00	0.4131	25/04/20 08:04:00	USDCE	scBTC
0x76b32f589904e78af65b773561133446c77bb70d	0xf8fa00354778a31cbcc5988ea578a227d3982675	33.46	6	148.30	0.8157	25/04/20 08:04:00	USDCE	scBTC
0x93384fc5828f1b7f2a8e5ab58595115cdc09469f	0xf8fa00354778a31cbcc5988ea578a227d3982675	33.39	10	733.77	6.7133	25/03/17 14:03:00	USDCE	scBTC
0xce3f4362665cc51585733682e54da43dd343e6ee	0xf8fa00354778a31cbcc5988ea578a227d3982675	33.19	1	492.26	0.4476	25/03/14 16:03:00	USDCE	scBTC
0xc77718b75ba9662bdc27e5ec95c99d60aafedd89	0xf8fa00354778a31cbcc5988ea578a227d3982675	32.71	17	1285.85	19.5907	25/04/24 11:04:00	USDCE	scBTC
0xfde9732fd69530a911d6ccbb872d86accb0e6c62	0xf8fa00354778a31cbcc5988ea578a227d3982675	32.48	1	6955.86	6.1901	25/03/13 03:03:00	USDCE	scBTC
0x45854310c3302c5dab9c0c745e8058d485a4ae8a	0xf8fa00354778a31cbcc5988ea578a227d3982675	31.80	1	1000.00	0.8713	25/03/13 03:03:00	USDCE	scBTC
0x2c8b93cc13dd9b506b09175488145009e4340819	0xf8fa00354778a31cbcc5988ea578a227d3982675	29.99	30	101.51	2.4379	25/04/17 20:04:00	USDC.e	scBTC
0x28b6e5f3838c519d48c5173240931829b850b0f4	0xf8fa00354778a31cbcc5988ea578a227d3982675	29.81	3	250.00	0.6126	25/03/17 20:03:00	USDCE	scBTC
0x2e0dca87927549c25223ca2dd4affb2d944d31cb	0xf8fa00354778a31cbcc5988ea578a227d3982675	28.73	60	31.26	1.4592	25/03/18 18:03:00	USDC.e	scBTC
0xed4363757b2c00479f378de27848725dbfd17d18	0xf8fa00354778a31cbcc5988ea578a227d3982675	28.58	1	14304.36	11.2006	25/03/13 04:03:00	USDCE	scBTC
0xa609388ec932e26500036e4a80ff3fa13507f408	0xf8fa00354778a31cbcc5988ea578a227d3982675	28.33	12	145.44	1.3548	25/04/12 00:04:00	USDCE	scBTC
0xd577c5d0a43c6359cc3926d70fc7f48e726fc121	0xf8fa00354778a31cbcc5988ea578a227d3982675	27.83	19	0.00	0.0000	25/04/28 12:04:00	USDC.e	scBTC
0x63284c54a82ca1785a0a03fa8402efd735edb333	0x0631508b6693731dd9f7baea849bf9eec5e74462	27.04	39	112.38	3.1674	25/04/09 00:04:00	USDC.e	scBTC
0x8f9b71126492912f380ef4a2bc77fb972d3636ff	0x0631508b6693731dd9f7baea849bf9eec5e74462	26.37	26	282.22	5.1232	25/04/21 22:04:00	USDC.e	scBTC
0x1563c4751ad2be48fd17464b73585b6ba8b6a5f0	0x0631508b6693731dd9f7baea849bf9eec5e74462	25.98	31	91.37	2.0160	25/04/02 20:04:00	USDCE	scBTC
0x81f0fabca380ebf6c78e291a89b2148e78b78b38	0x0631508b6693731dd9f7baea849bf9eec5e74462	25.45	28	257.66	5.0301	25/04/19 23:04:00	USDCE	scBTC
0xcd143fe8aab71d0ef3dbcdb3222e13433e1a9e64	0x0631508b6693731dd9f7baea849bf9eec5e74462	25.44	24	36.19	0.6028	25/04/23 04:04:00	USDC.e	scBTC
0x75a99f71613b8bdcada498b56a0d8b31cb8caf50	0x0631508b6693731dd9f7baea849bf9eec5e74462	24.79	6	10.85	0.0442	25/03/13 03:03:00	USDCE	scBTC
