wallet	ichi_vault	apr	total_days	deposit_value	reward_value	deposit_time	deposit_asset0	deposit_asset1
0x164572acff302ac81c257299fc5c2a074f069c34	0x73eb2dd6b08d47af3081486df9345bd334a1fe01	48.79	2	109.52	0.2928	25/02/26 01:02:00	WS	scBTC
0x7788ea4ce2b1eac4d6e25790bfe6d3d537cce53a	0xe67200254a820cc4221de983d56d364ce1dfc193	48.44	1	266.70	0.3540	25/02/24 03:02:00	WS	scBTC
0xdf9fb7d935b8cc315f6288249ccf34d810bcfa9b	0x73eb2dd6b08d47af3081486df9345bd334a1fe01	47.73	1	278.70	0.3645	25/02/24 02:02:00	WS	scBTC
0x265a66afa0ffd9a532b9adaca1126c782cdd648c	0x73eb2dd6b08d47af3081486df9345bd334a1fe01	45.01	7	540.84	4.6683	25/02/24 06:02:00	WS	scBTC
0x55dd18cc56d77e8ddca31a3599b7f8760be342f1	0x73eb2dd6b08d47af3081486df9345bd334a1fe01	43.04	20	9307.22	219.4984	25/03/21 18:03:00	WS	scBTC
0x973255d41c0853413572527f45ee5622cd7a2165	0x73eb2dd6b08d47af3081486df9345bd334a1fe01	42.54	58	1276.83	86.3085	25/02/24 02:02:00	WS	scBTC
0x11b5caf3ad10d3f4384cdb8ea46f525802d52113	0x73eb2dd6b08d47af3081486df9345bd334a1fe01	42.38	18	52.50	1.0971	25/03/07 03:03:00	WS	scBTC
0xf6af31547b59022dd42aecd399817a7f5dbb86aa	0x73eb2dd6b08d47af3081486df9345bd334a1fe01	42.37	37	124.09	5.3301	25/02/24 12:02:00	WS	scBTC
0xaf79312eb821871208ac76a80c8e282f8796964e	0x73eb2dd6b08d47af3081486df9345bd334a1fe01	41.77	3	200.98	0.6900	25/02/25 07:02:00	WS	scBTC
0x1fab9d2d12c9aa65e23bb273c856d52ffba3afaf	0x73eb2dd6b08d47af3081486df9345bd334a1fe01	41.46	16	49.23	0.8946	25/03/26 20:03:00	WS	scBTC
0x724aa86ee364a0764639a7b1aaf96e42f82ab180	0x73eb2dd6b08d47af3081486df9345bd334a1fe01	41.34	82	96.90	8.9939	25/02/24 02:02:00	wS	scBTC
0x65820d159ae4d98e900eb221374a729adc70b677	0x73eb2dd6b08d47af3081486df9345bd334a1fe01	41.28	82	2.04	0.1887	25/02/24 03:02:00	wS	scBTC
0xeb745ab62b06a24a7886c6fe8a145b5bab046844	0x73eb2dd6b08d47af3081486df9345bd334a1fe01	40.41	6	21926.20	145.6397	25/03/07 17:03:00	WS	scBTC
0x9d079ab1923d8a35ceb6a3a4519406b40f25491d	0x73eb2dd6b08d47af3081486df9345bd334a1fe01	40.29	2	45.53	0.1005	25/02/26 06:02:00	WS	scBTC
0x6da43f5ba492912179f648a9978efb1f2b59b396	0x73eb2dd6b08d47af3081486df9345bd334a1fe01	40.14	61	49.02	3.2558	25/03/17 15:03:00	wS	scBTC
0x2fd1d8eaa6ed1b424c2d03ce5eadde9f301c3235	0x73eb2dd6b08d47af3081486df9345bd334a1fe01	39.52	23	11.12	0.2768	25/02/24 03:02:00	WS	scBTC
0x210c09b2390ee03ee86dd8bb736bda2f31aab57f	0xe67200254a820cc4221de983d56d364ce1dfc193	39.30	5	12733.21	68.5448	25/02/24 01:02:00	WS	scBTC
0x3380b522aa620e8d3a64887334aba294e7688b97	0x73eb2dd6b08d47af3081486df9345bd334a1fe01	39.25	33	132.20	4.6912	25/02/27 01:02:00	WS	scBTC
0x818793666bd9c5db5a5a857dbce731a623963e58	0x73eb2dd6b08d47af3081486df9345bd334a1fe01	39.18	2	4.48	0.0096	25/02/26 05:02:00	WS	scBTC
0x86f3938aa7c67d5f9e6ad0755a162a8dbc34b3e5	0x73eb2dd6b08d47af3081486df9345bd334a1fe01	38.87	80	12.55	1.0606	25/02/26 16:02:00	wS	scBTC
0xa563cdec4bc3f7c0e3198efbd0cff42aa07ef431	0x73eb2dd6b08d47af3081486df9345bd334a1fe01	38.49	4	7406.80	31.2458	25/02/24 03:02:00	WS	scBTC
0xc8d84b9941f08e1cd81f44b3c14bba18d31cc8b5	0x73eb2dd6b08d47af3081486df9345bd334a1fe01	38.47	17	689.00	12.3463	25/04/06 03:04:00	WS	scBTC
0x279c3689d4277789027b931767107100459af7d2	0x73eb2dd6b08d47af3081486df9345bd334a1fe01	38.11	4	11223.35	46.8675	25/02/24 03:02:00	WS	scBTC
0x913a6974be87aaa8f2f6421f7f74bf54e01d55ac	0x73eb2dd6b08d47af3081486df9345bd334a1fe01	38.07	58	169.95	10.2803	25/03/09 19:03:00	WS	scBTC
0x8d49ff02b2df0a7e1da0eb12eee285461a98ef93	0x73eb2dd6b08d47af3081486df9345bd334a1fe01	37.99	68	10.18	0.7205	25/03/03 09:03:00	WS	scBTC
0xa3ae78bfa9bbd0e95ca652e34b59e459d8131f90	0x73eb2dd6b08d47af3081486df9345bd334a1fe01	37.91	5	405.98	2.1081	25/02/25 03:02:00	WS	scBTC
0xf413ce3f5cbef53c4eecbd6a70aa78072a247858	0x73eb2dd6b08d47af3081486df9345bd334a1fe01	36.56	51	9.95	0.5083	25/03/24 00:03:00	WS	scBTC
0x6f8adc605edf0da9f3970d12405e8e47e9ac7454	0x73eb2dd6b08d47af3081486df9345bd334a1fe01	35.70	2	3993.21	7.8117	25/02/26 07:02:00	WS	scBTC
0x9e8a31d9b61a013411366a5fafa4f18b5fd8a1b7	0x73eb2dd6b08d47af3081486df9345bd334a1fe01	35.35	24	112.61	2.6171	25/04/06 22:04:00	WS	scBTC
0x1188bc55c6bc64a149e646a1689937abd74b2f07	0xe67200254a820cc4221de983d56d364ce1dfc193	34.87	2	37940.33	72.4888	25/02/24 02:02:00	WS	scBTC
0xabea63c0967f2f5faf4b262c0104233ab5a56ac8	0x73eb2dd6b08d47af3081486df9345bd334a1fe01	34.13	5	45564.50	213.0048	25/03/20 04:03:00	WS	scBTC
0x13d5be83b14e1a09c2b2a63b12e6519c734cf667	0x73eb2dd6b08d47af3081486df9345bd334a1fe01	32.36	21	4.29	0.0798	25/02/27 09:02:00	WS	scBTC
0x4e7ed9b5cfe6fff19cfcaf08b6b1bbf9bb1627c5	0x73eb2dd6b08d47af3081486df9345bd334a1fe01	31.48	4	214.59	0.7404	25/02/25 22:02:00	WS	scBTC
0x4a24aef7bb9cbf123b28b666cdd26c615e88cc5f	0x73eb2dd6b08d47af3081486df9345bd334a1fe01	29.98	1	6481.44	5.3233	25/02/24 02:02:00	WS	scBTC
0x7aadcc0ccf292dedb7deb8d58a0fcf6b957f4322	0x73eb2dd6b08d47af3081486df9345bd334a1fe01	29.16	16	53.57	0.6847	25/02/26 19:02:00	WS	scBTC
0xd577c5d0a43c6359cc3926d70fc7f48e726fc121	0x73eb2dd6b08d47af3081486df9345bd334a1fe01	29.09	19	0.00	0.0000	25/04/28 12:04:00	wS	scBTC
0x7a4510d033986af688a0a8a9ef114d07a7b2a577	0xe67200254a820cc4221de983d56d364ce1dfc193	28.93	2	1902.74	3.0163	25/02/25 11:02:00	WS	scBTC
0x0f1ff2019f5a0fbd27ca9a4b8dc5ca195d45a0d9	0xe67200254a820cc4221de983d56d364ce1dfc193	28.42	1	95248.47	74.1666	25/02/24 08:02:00	WS	scBTC
0x2fd1d8eaa6ed1b424c2d03ce5eadde9f301c3235	0xe67200254a820cc4221de983d56d364ce1dfc193	27.77	5	3808.97	14.4913	25/02/24 03:02:00	WS	scBTC
0xeb88911a64e424fb9d922172f1e5b57ce0206b43	0xe67200254a820cc4221de983d56d364ce1dfc193	27.70	2	147.13	0.2233	25/02/25 15:02:00	WS	scBTC
0x052c69a130e96394bee3f2555917098859061577	0xe67200254a820cc4221de983d56d364ce1dfc193	27.58	3	27.17	0.0616	25/02/24 22:02:00	WS	scBTC
0x731f587745d513f5e1b9fdaa4545f83016ac47e6	0xe67200254a820cc4221de983d56d364ce1dfc193	26.97	8	5.97	0.0353	25/02/24 02:02:00	WS	scBTC
0xb01f510e694d2509010c18b49b56413b1154c9aa	0x73eb2dd6b08d47af3081486df9345bd334a1fe01	26.95	57	102.42	4.3108	25/03/20 18:03:00	WS	scBTC
0x9ebafb135b66db8faaa48d0ce8c4d650d1a0be14	0x73eb2dd6b08d47af3081486df9345bd334a1fe01	26.88	12	33.88	0.2994	25/02/28 00:02:00	WS	scBTC
0xcfe131dd3c7c5562fda2b4fb351a477d576ea1ad	0x73eb2dd6b08d47af3081486df9345bd334a1fe01	26.07	8	576.35	2.9763	25/05/09 19:05:00	wS	scBTC
