wallet	ichi_vault	apr	total_days	deposit_value	reward_value	deposit_time	deposit_asset0	deposit_asset1
0x7d19a1ee08eb382da251d95fd27550b855f85e9a	0x8bcf8ad9c16f455b54a077f48717c08afa326296	41.82	1	23973.62	27.4675	25/02/13 18:02:00	frxUSD	scUSD
0x8a30fe8dd7c1b8ee6fff8892731ed345b9e33b29	0x1b282d69a54a983714bb6bea8caacb29d4cb45b5	34.16	2	6065.28	11.3522	25/02/14 14:02:00	frxUSD	scUSD
0xc1c21909510e49fe2b4c774476ba7d4e371f98fc	0x8bcf8ad9c16f455b54a077f48717c08afa326296	26.68	3	16722.15	36.6687	25/04/29 13:04:00	frxUSD	scUSD
0xffae19561c038747c5c9f79f7777c29f28c4b4ad	0x8bcf8ad9c16f455b54a077f48717c08afa326296	25.01	3	24513.48	50.3835	25/02/13 5:02:00	frxUSD	scUSD
0x5e552e0a1f107b225116b525f0fbfe887d332068	0x1b282d69a54a983714bb6bea8caacb29d4cb45b5	23.70	8	5372.24	27.9069	25/02/14 11:02:00	frxUSD	scUSD
0xae6809ba655f91a12fa772652b558515a64f5f9a	0x8bcf8ad9c16f455b54a077f48717c08afa326296	23.62	5	25968.99	84.0358	25/02/13 20:02:00	frxUSD	scUSD
0x4f4b9492392b88a1d21611575b732428a1bedea6	0x8bcf8ad9c16f455b54a077f48717c08afa326296	21.60	10	3204.55	17.0870	25/04/24 2:04:00	frxUSD	scUSD
0x9bf2873be63ac14ed70a318b1f8c5499b03c1dc1	0x1b282d69a54a983714bb6bea8caacb29d4cb45b5	19.01	8	8180.00	34.0900	25/04/06 11:04:00	frxUSD	scUSD
0xb8e9258da5b901e1d2fd407dac6a362f5a3e4a7d	0x8bcf8ad9c16f455b54a077f48717c08afa326296	18.95	9	2904.07	13.5682	25/04/09 0:04:00	frxUSD	scUSD
0xc18dad44e77cf2f2f689f68d93a3603cbcdc5a30	0x1b282d69a54a983714bb6bea8caacb29d4cb45b5	18.57	8	20423.73	83.1057	25/02/14 21:02:00	frxUSD	scUSD
0x00c6d212501fe3e3a8fc19871ff0ae46c342e5fd	0x1b282d69a54a983714bb6bea8caacb29d4cb45b5	17.80	25	10156.10	119.2580	25/04/09 0:04:00	frxUSD	scUSD
0xf4bb7b8cf001338e24f305b033a76c5c3629cbe7	0x1b282d69a54a983714bb6bea8caacb29d4cb45b5	16.99	8	2817.70	10.4907	25/04/10 11:04:00	frxUSD	scUSD
0xbb8809c3b90f2b7a8d2ad576005e596cb79a6330	0x8bcf8ad9c16f455b54a077f48717c08afa326296	16.79	20	2341.26	21.5350	25/04/07 20:04:00	frxUSD	scUSD
0xb488885afc5a3e1055e598d40a60e3350fef602e	0x1b282d69a54a983714bb6bea8caacb29d4cb45b5	16.56	18	1575.46	12.8667	25/04/11 12:04:00	frxUSD	scUSD
0x97b73b8eaa8662381383a67e0dbcab67f78337dd	0x1b282d69a54a983714bb6bea8caacb29d4cb45b5	16.47	7	138217.98	436.4809	25/02/13 23:02:00	frxUSD	scUSD
0x5a30c0b5b45f28971495e8d0dcd9146153d3639f	0x8bcf8ad9c16f455b54a077f48717c08afa326296	16.41	5	80137.43	180.1588	25/04/16 5:04:00	frxUSD	scUSD
0xc77718b75ba9662bdc27e5ec95c99d60aafedd89	0x8bcf8ad9c16f455b54a077f48717c08afa326296	15.48	26	2329.57	25.6906	25/04/01 11:04:00	frxUSD	scUSD
0xfd713ecff6f473827e01d7c8cf50dadda4281262	0x1b282d69a54a983714bb6bea8caacb29d4cb45b5	15.34	14	8516.13	50.1070	25/04/08 21:04:00	frxUSD	scUSD
0x7fb1041931a8ca61a7607feb1500265bbd8f0434	0x8bcf8ad9c16f455b54a077f48717c08afa326296	15.22	10	8123.27	33.8783	25/04/17 4:04:00	frxUSD	scUSD
0xbce83d5060a7d7007fd7ca17301c1e5131b2d50e	0x8bcf8ad9c16f455b54a077f48717c08afa326296	15.13	7	10000.00	29.0098	25/02/14 22:02:00	frxUSD	scUSD
0x4334703b0b74e2045926f82f4158a103fce1df4f	0x8bcf8ad9c16f455b54a077f48717c08afa326296	14.19	11	8467.77	36.2066	25/04/17 12:04:00	frxUSD	scUSD
0xb21f69a8eba1475c96c09e8c62842dcc16f0d441	0x1b282d69a54a983714bb6bea8caacb29d4cb45b5	14.15	5	74090.55	143.6068	25/02/16 7:02:00	frxUSD	scUSD
0xa9e9e0414d52658515eb9db6dcdc6055396a031a	0x1b282d69a54a983714bb6bea8caacb29d4cb45b5	13.87	13	5439.23	26.8673	25/02/14 21:02:00	frxUSD	scUSD
0x9e0ef1bc1a3411001a30ea016faeab76d28bf8e3	0x1b282d69a54a983714bb6bea8caacb29d4cb45b5	13.66	3	40192.50	45.1420	25/02/17 11:02:00	frxUSD	scUSD
0x973255d41c0853413572527f45ee5622cd7a2165	0x8bcf8ad9c16f455b54a077f48717c08afa326296	13.57	13	2396.78	11.5863	25/02/14 10:02:00	frxUSD	scUSD
0xfd713ecff6f473827e01d7c8cf50dadda4281262	0x8bcf8ad9c16f455b54a077f48717c08afa326296	13.56	3	11839.38	13.1933	25/04/08 21:04:00	frxUSD	scUSD
0xdbf7b6c8c65254c7af6b877f6b6261e922be91ec	0x1b282d69a54a983714bb6bea8caacb29d4cb45b5	13.04	6	25845.80	55.3843	25/02/15 2:02:00	frxUSD	scUSD
0x5d59e145f6f0bf51151083f44ef60f691391f1cd	0x8bcf8ad9c16f455b54a077f48717c08afa326296	12.69	42	2599.24	37.9555	25/03/20 7:03:00	frxUSD	scUSD
0x27b5491b519e72ce52f0dc9ccc9d7dc3d1e7b964	0x1b282d69a54a983714bb6bea8caacb29d4cb45b5	11.68	77	995.52	24.2368	25/02/15 23:02:00	frxUSD	scUSD
