wallet	ticks	apr	total_profit_usd	mid_deposited_usd	rebalances	in_range	rebalances_gap_hours	mid_duration_hours	impermanent_loss_avg	auto_rebalance	vfat_cutoff_tick_low_avg	vfat_cutoff_tick_high_avg	vfat_buffer_ticks_below_avg	vfat_buffer_ticks_above_avg
0x3efd6520d79372191024b9eb5e6268dc74b02894	50	861.33	32.50	688.66	1	20.00	0	26	0.002896539257235542	0	0	0	0	0
0x27243dfacd64e698220c963292263268015047da	250	610.34	153.35	3356.26	2	87.00	70	32	0.0062256238935187724	0	0	0	0	0
0x4ee50c094cd4e2f984bde43fb51a4cae7bc3a46a	400	555.43	18.84	1238.36	1	100.00	0	21	0.003042461037561228	0	0	0	0	0
0x6a8dfc07baf591ae8c45cd583e8735d278c58e6c	450	520.21	3.04	213.38	1	100.00	0	22	0	0	0	0	0	0
0x2f4147b92116d30dd5ade11752e3b9a97b66d6dc	400	476.46	0.34	13.16	1	82.00	0	45	0	0	0	0	0	0
0x66c92528f1c46a75760bbbea8f0983c11254648c	150	461.32	5.56	161.26	2	34.50	13	41	0.0012115881037499943	0	0	0	0	0
0x5544de3a7a687028c0caf47fc6d4d94a80b638ee	150	439.92	52.66	697.03	4	82.00	24	17	0.0006254613781869756	0	0	0	0	0
0x9d30a0d1d9ddc4bbbe8bdddf5bd000194b21a38b	350	414.23	5.56	244.75	1	93.00	0	45	0	0	0	0	0	0
0x85e5bc73dd304062dcf08c65302d5a872cabfa77	400	414.05	49.33	2174.27	1	94.00	0	34	0.023242549056579076	0	0	0	0	0
0x10368bfc3da395b46d40261a6bea3189af6b5e75	450	404.99	95.10	8571.05	1	88.00	0	23	0	0	0	0	0	0
0x6e912d3429773b577d730032044a9bd70caefe9e	600	397.56	5.49	503.61	1	100.00	0	23	0	0	0	0	0	0
0x919a27466dc58f5d3ff1b30a339a574d71be65c7	400	392.02	2.56	49.78	2	78.50	0	49	0	0	0	0	0	0
0xa58de18ccedf49d067402a82293d06b87c9317a6	500	385.75	28.08	1328.44	1	99.00	0	37	0.013649606140597736	0	0	0	0	0
0xe4486802a2b68c775f9302f6d5e38fc44c99e3da	50	385.24	10.79	1021.89	1	17.00	0	11	0.004454779105700357	0	0	0	0	0
0x73e2f7bcc702638876aaef814e660a52b8299cdb	350	378.21	6.99	337.27	1	96.00	0	30	0	0	0	0	0	0
0x39e746fb643789facb3031577eddf0ee996ea701	400	376.93	47.07	2278.89	1	79.00	0	42	0.0010976334625878437	0	0	0	0	0
0x9674fc77a3f5773002877cae189a51ea89cc4316	400	374.45	221.93	21632.50	1	95.00	0	17	0.019452757245019825	0	0	0	0	0
0xe757cb9f9210f0c970e20696f91665146c3c9494	300	370.78	38.89	868.92	2	64.50	100	36	0.01154708923838399	0	0	0	0	0
0xe840907f25ccde2980c2726fbed32504e99b212e	600	368.44	339.55	33638.35	1	100.00	0	22	0.002325834010419303	0	0	0	0	0
0x156e592cb42be728a38fc5c893b4f738b9bb316e	300	363.22	356.26	12185.92	3	69.67	37	17	0	0	0	0	0	0
0x9d30a0d1d9ddc4bbbe8bdddf5bd000194b21a38b	400	360.75	2.70	136.49	1	93.00	0	45	0	0	0	0	0	0
0xd1c921829db71034b077e585fa4f28850f2b5267	400	359.33	878.32	44609.31	1	84.00	0	38	0	0	0	0	0	0
0xc48163af7f0e9028d9499513d32e721110bdb174	500	357.14	0.92	93.92	1	100.00	0	16	0	0	0	0	0	0
0xe1f3d27341f210e0964f11ba6650aa1e328b2686	450	356.35	33.56	508.55	3	81.00	3	48	0.02103164014309507	0	0	0	0	0
0xb734ec7a75d65406fde5bcf9156cab673ba1e1c5	300	355.85	4.04	207.04	1	51.00	0	47	0	0	0	0	0	0
0x449024005833ec0515e8379e5ae822aab42d27c0	650	350.83	2.16	225.20	1	100.00	0	22	0.004791874498633053	0	0	0	0	0
0x5aac153c1d3552bd81590f5de5102c4a1a3a08ed	200	348.31	25.72	402.37	2	31.50	3	84	0.06563067838728509	0	0	0	0	0
0xe840907f25ccde2980c2726fbed32504e99b212e	350	347.80	385.13	40417.45	1	100.00	0	20	0	0	0	0	0	0
0x38c30c92ade65cc35ce93b4f895894d197cec4c6	450	342.25	77.89	4175.95	2	100.00	8	15	0.002903982551616391	0	0	0	0	0
0xf86b92a7508958fa1b9a7e600aee33ab7bf8664a	400	338.25	0.93	100.20	1	100.00	0	13	0.0055285973432850355	0	0	0	0	0
0xe0210d3a2b9e4c23f93308971fb0e1feb13262c5	350	338.15	11.82	637.87	1	84.00	0	31	0.06540539707691195	0	0	0	0	0
0x919a27466dc58f5d3ff1b30a339a574d71be65c7	300	333.74	0.98	53.93	2	62.50	0	23	0.001097935076371792	0	0	0	0	0
0x278752ff42bdf8c5124415ca261ecadba8542887	400	329.44	17.72	1962.81	1	100.00	0	20	0.002115542564795625	0	0	0	0	0
0x300afbe08ee4619ec93524f9255ce59a013a5b63	100	327.56	9.41	1048.73	1	78.00	0	6	0	0	0	0	0	0
0xe30dc1eba82267d5e55391d3cdc7d6f72de9c227	400	327.23	11.06	616.56	1	75.00	0	36	0.04812797480109321	0	0	0	0	0
0x51dcd4d4632149f8fdf9fca8c79700595e8034cd	600	326.99	0.93	52.03	1	95.00	0	38	0	0	0	0	0	0
0x3f6eea20e0ce4a86c83fd5dad5c32e43e1251361	400	325.55	281.44	15777.48	1	97.00	0	28	0.027692782103905245	0	0	0	0	0
0xf241e1c926236d8100a696ebe1b4793f06ead712	650	324.83	0.20	22.29	1	100.00	0	23	0	0	0	0	0	0
0x0f72046b58f2a5fbc58e6a3490b3a342fb05df36	400	322.23	340.56	19287.83	1	96.00	0	28	0	0	0	0	0	0
0xb734ec7a75d65406fde5bcf9156cab673ba1e1c5	200	322.18	1.75	198.16	1	41.00	0	20	0	0	0	0	0	0
0x98ecce11fcbdeaef180b9ae1cc2549ed0ed80173	200	322.18	1.75	197.95	1	36.00	0	22	0	0	0	0	0	0
0xbd1bff03034ac340235e48ee35c85b1121b8198e	100	321.88	288.66	16366.62	1	33.00	0	28	0.004074476730830945	0	0	0	0	0
0x5f17e9d3b612262369cbf9f0fc141eaa3d577e8e	350	321.74	444.23	25197.88	1	98.00	0	34	0.006322726256069444	0	0	0	0	0
0x69528a431a5a6f3723d58b1a474d0c865f8b9dda	650	320.21	366.79	41809.63	1	100.00	0	22	0	0	0	0	0	0
0x735c9f1d619bc83560f2b23b6c6f35ba159f57b8	300	319.62	0.01	0.79	1	70.00	0	40	0	0	0	0	0	0
0x4e9518ecb5e2a779cbfe3e41231bd7ad31c94d75	400	318.08	441.30	25320.16	1	61.00	0	41	0.06743201950748512	0	0	0	0	0
0x607583cba8866c13200dde82e1e66a8bbd927b5e	350	315.01	4.15	480.66	1	83.00	0	14	0	0	0	0	0	0
0x44b3139eab3ec2d5b15864a478065f151a7a7da4	400	314.83	5.69	272.15	2	91.00	53	24	0.0013048636724022344	0	0	0	0	0
0xa6861734e12e45e3b3a1dfc3d06d1bc5d3c34589	400	313.05	9.66	375.58	1	76.00	0	71	0.000929604696342512	0	0	0	0	0
0xbbd9ef86217b5a607574627e4c01933812196240	400	313.02	62.60	1887.48	3	70.67	52	19	0.010290890693505824	0	0	0	0	0
0x0cbdfac5e093c49bd1f8633fded37216acbdcf4f	400	311.91	7.68	449.14	1	80.00	0	35	0.005464957797174375	0	0	0	0	0
0xb34f836eb3bbde0a7c1c8800ba3b71e31f8e536e	400	310.67	59.82	1756.90	1	79.00	0	72	0.000006714702804888617	0	0	0	0	0
0xb734ec7a75d65406fde5bcf9156cab673ba1e1c5	250	309.91	3.39	199.76	1	39.00	0	38	0	0	0	0	0	0
0x0b8f402ae25a4d5da17d24462df9a7bae4882d56	250	308.22	8.73	516.85	1	43.00	0	46	0	0	0	0	0	0
0xfb6d215b37f54ed59f46a104a45540878bf9950c	400	303.25	32.94	1861.81	2	90.00	0	18	0	0	0	0	0	0
0x7e45ac061ca96b3995cd6730a0211816fbd5f77e	400	303.04	0.05	1.00	1	70.00	0	123	0	0	0	0	0	0
0x77a70e1761fb3cbb333599ee16e5d6cb027afd83	400	302.35	15.60	1883.29	1	100.00	0	19	0	0	0	0	0	0
0xc48163af7f0e9028d9499513d32e721110bdb174	400	299.82	1.28	78.12	1	98.00	0	27	0	0	0	0	0	0
0xd42d654d065ff9560c823f2d71411535d5e81132	600	298.60	6.62	809.60	1	100.00	0	16	0	0	0	0	0	0
0xe8a0c3f794640ffdad7855dfc7d8351e867f7b9c	650	296.83	33.62	2067.22	1	99.00	0	37	0.024137336769780582	0	0	0	0	0
0xe1f3d27341f210e0964f11ba6650aa1e328b2686	400	295.32	22.26	540.48	3	69.33	4	36	0	0	0	0	0	0
0x9694366b5f7329f973b91b705883472f1302637f	500	295.29	5.46	674.86	1	58.00	0	22	0.04832287026601545	0	0	0	0	0
