wallet	ticks	apr	total_profit_usd	mid_deposited_usd	rebalances	in_range	rebalances_gap_hours	mid_duration_hours	impermanent_loss_avg	auto_rebalance	vfat_cutoff_tick_low_avg	vfat_cutoff_tick_high_avg	vfat_buffer_ticks_below_avg	vfat_buffer_ticks_above_avg
0xb0bada5d45d939a03c6d211d24a61a4418d7cd13	800	208.41	2194.02	40632.51	5	99.80	0	33	0.009737759728010165	0	0	0	0	0
0xae78d5362f6687de8fbb9b5de6dd129883d61ea8	400	192.57	1335.76	8945.36	27	86.52	1	10	0.0016792218840700746	0	0	0	0	0
0xb0bada5d45d939a03c6d211d24a61a4418d7cd13	500	178.91	1792.95	13851.34	21	92.05	0	16	0.006068010507105053	0	0	0	0	0
0x6e202db1dae7f06e0d99223fd7f181f1257c0d02	150	175.50	1597.12	26293.60	7	43.71	8	21	0.01631631699326849	0	0	0	0	0
0x8873b9bf783c3e7404397e0226776f79a15341d1	400	161.01	1294.74	10773.47	21	78.62	0	12	0.006082310164135492	0	0	0	0	0
0x6e202db1dae7f06e0d99223fd7f181f1257c0d02	300	155.78	1319.53	55018.91	4	64.00	9	26	0.01701100831196234	0	0	0	0	0
0x4e6223c5ae86b5086fc93a448a31796f70f87b34	400	144.17	1958.63	51697.76	6	51.50	1	26	0.02389742003073292	0	0	0	0	0
0x294125ebe0a93815a68e0165935c521275e2dc1e	1000	118.33	1212.01	186922.00	1	75.00	0	35	0.002786942944277282	0	0	0	0	0
0x5ea0acaaf9a1c5d9cf93ecdb733ef6c6d66663b0	2000	106.10	1512.41	104058.91	1	100.00	0	119	0.027021269759230915	0	0	0	0	0
0x010b23b2f2a5f6bc4ce0c68a5f65c248c1129831	1200	97.44	1367.88	85401.36	1	81.00	0	121	0	0	0	0	0	0
0x993b16320d16bb35ca328ceaeb1b7e93ba8c596e	900	94.42	3592.73	150860.81	2	50.50	0	41	0	0	0	0	0	0
0xae57f25facc8db48a329f43e22fd4e330c884d6b	1200	88.92	1118.48	65589.72	1	82.00	0	149	0.0005258310625810836	0	0	0	0	0
0x1b648ade1ef219c87987cd60eba069a7faf1621f	3000	70.34	1426.44	105737.84	1	100.00	0	159	0	0	0	0	0	0
0x500d3db7361e7f613e13426566b8464abfd559e0	1650	67.31	1450.88	131134.20	1	82.00	0	127	0	0	0	0	0	0
0x993b16320d16bb35ca328ceaeb1b7e93ba8c596e	1150	62.84	3104.47	169369.29	2	50.00	69	47	0.012818572354644786	0	0	0	0	0
0x6712b7f12d9d335a15b0cddeee7a061ee522bda0	400	49.96	1012.49	60750.75	6	91.67	23	6	0.0016816457516388716	0	0	0	0	0
0x3c7bc2bf27e0a91ecd97dba1325af61e4cf47efd	3800	43.12	6047.27	2559404.51	1	100.00	0	41	0.005050006944384844	0	0	0	0	0
0x3c7bc2bf27e0a91ecd97dba1325af61e4cf47efd	2700	32.81	1136.24	1263885.50	1	100.00	0	19	0	0	0	0	0	0
0x294125ebe0a93815a68e0165935c521275e2dc1e	2500	24.91	1116.14	327113.50	1	77.00	0	108	0	0	0	0	0	0
0xcafe0099a4422a3862ee3612bb909c74fb767777	50	5.45	1023.67	131827.28	68	48.53	0	0	0.00007332564533204914	0	0	0	0	0
0xb0e8cafe077b51ede43383b0e428e5b5c510dd01	50	4.20	9098.24	375059.00	282	53.56	0	0	0.007353738070452995	0	0	0	0	0
0xe3a8b5b9cc06987d030f021ca189f0cd7380ef41	50	2.17	29851.20	104374.61	5390	49.83	0	0	0.0009208217311233614	0	0	0	0	0
0xd50cf3848619e7463374f55a783e9264b8d59a90	250	0.91	3236.17	2255729.91	32	50.16	3	73	0.00012553695789944974	0	0	0	0	0
