id	tick_lower	tick_upper	ticks	deposited_token0	deposited_token1	collected_token0	collected_token1	total_deposited_usd	total_profit_usd	apr_30d	apr	in_range	in_range_swaps	impermanent_loss	price_lower	price_upper	price_range	price_mid	wallet	auto_rebalance	cutoff_tick_low	cutoff_tick_high	buffer_ticks_below	buffer_ticks_above	tick_spaces_below	tick_spaces_above	dust_bp
7583	5	10	5	66559.760967	88751.382794	155254.114346	0.0	155311.143761	2720.7943004112717	7.51	91.35	96	0		1.0005	1.001	0.0005	1.0008	0xb3bfb32977cfd6200ab9537e3703e501d8381c9b	true	-887272	887272	0	0	1	2	2000
8023	0	10	10	6832.550706	15835.220328	5346.383381	17322.474748	22667.771034	140.4483064127409	4.65	56.54	100	0	2.2882626904419115e-07	1.0	1.001	0.001	1.0005	0xc40f6f6ade14de9aa40e5a868aa8db4ae2ab5be4	true	-887272	887272	0	0	1	1	2000
7361	5	15	10	2669.185167	921.352841	3589.959407	0.0	3590.538008	46.37266734049816	4.31	52.38	82	0	5.9376841665e-06	1.0005	1.0015	0.001	1.001	0x3214e141bdae08be1f382a885cf3d2a448a5e780	true	-887272	887272	0	0	29	30	100
8385	0	15	15	366.890907	285.236945	345.431344	306.711114	652.1278520000001	1.5949754684651427	3.67	44.64	100	0		1.0	1.0015	0.0015	1.0008	0x4b2c88573f8f2baee29d5a1b68651afc868475a0	true	-887272	887272	0	0	2	1	1000
135390	35	40	5	8265.007346	7832.896673	0.0	16129.961667	16097.904019	13.748729120935524	2.56	31.17	100	0	4.337971204471103e-07	1.0035	1.004	0.0005	1.0038	0xb0bada5d45d939a03c6d211d24a61a4418d7cd13	true	-887272	887272	0	0	0	0	100
135470	40	45	5	12008.465631	4068.372586	16060.342505	0.0	16076.838217	9.186300199950018	1.71	20.86	100	0		1.004	1.0045	0.0005	1.0043	0xb0bada5d45d939a03c6d211d24a61a4418d7cd13	true	-887272	887272	0	0	0	0	100
86371	0	5	5	632.014514	317.986606	705.487807	244.502435	950.00112	0.540180420624647	1.71	20.75	100	0		1.0	1.0005	0.0005	1.0003	0xd73c5d65f32f2a90c3a137bd57e294b53d3a2074	0	0	0	0	0	0	0	0
135633	35	40	5	6331.055688	9764.742572	16060.209675	0.0	16095.79826	8.553584394987983	1.59	19.4	10	0		1.0035	1.004	0.0005	1.0038	0xb0bada5d45d939a03c6d211d24a61a4418d7cd13	true	-887272	887272	0	0	0	0	100
137609	20	25	5	450.338289	5443.339497	2348.512782	3540.659281	5893.677786	14.657924602241868	1.49	18.16	100	0		1.002	1.0025	0.0005	1.0023	0xb0bada5d45d939a03c6d211d24a61a4418d7cd13	true	-887272	887272	0	0	0	0	200
225044	0	5	5	527.140772	2216.022651	0.0	2743.401703	2743.163423	8.192557551846232	1.49	18.17	100	0		1.0	1.0005	0.0005	1.0003	0xb0bada5d45d939a03c6d211d24a61a4418d7cd13	true	-887272	887272	0	0	0	0	100
225150	0	5	5	638.809049	1192.045422	824.099154	1006.699685	1830.854471	4.558187138309806	1.49	18.17	100	0	3.668770731657389e-07	1.0	1.0005	0.0005	1.0003	0xa1eca898ad4a4909c527c78b559ffdad005e761d	0	0	0	0	0	0	0	0
225048	0	5	5	215.806936	818.143263	0.0	1034.045193	1033.950199	3.045075435305903	1.47	17.92	100	0		1.0	1.0005	0.0005	1.0003	0xb0bada5d45d939a03c6d211d24a61a4418d7cd13	true	-887272	887272	0	0	0	0	100
135668	35	40	5	3048.900868	2977.889798	6016.020754	0.0	6026.790666000001	2.855101906287372	1.42	17.29	100	0	2.5003205172e-06	1.0035	1.004	0.0005	1.0038	0x83f1cdd65a7b50c65077ea97ad203cc6cc015ca3	0	0	0	0	0	0	0	0
86908	0	5	5	18239.089479	8786.287976	0.0	27031.420011	27025.377455	59.04872245603823	1.31	15.95	99	0		1.0	1.0005	0.0005	1.0003	0x55531a61506fc139c7c281c03b540c714bbb3752	0	0	0	0	0	0	0	0
135067	5	25	20	688.853119	1656.789815	121.467425	2225.398979	2345.642934	1.026526117118411	1.31	15.97	88	0		1.0005	1.0025	0.002	1.0015	0x66a0f5491c5ace4e491fb8a90da3af1c2b9ac233	0	0	0	0	0	2	1	0
135189	20	25	5	235.976074	14083.384805	0.0	14319.95055	14319.360879	5.862610727133508	1.23	14.94	0	0	1.53332242014e-05	1.002	1.0025	0.0005	1.0023	0xb0bada5d45d939a03c6d211d24a61a4418d7cd13	true	-887272	887272	0	0	0	0	100
103210	0	5	5	3606.773466	3955.649428	4539.711768	3022.495921	7562.422894	3.045203531170137	1.21	14.7	100	0		1.0	1.0005	0.0005	1.0003	0x35dabbf0190cb68dee6d58b7ebfd28dd34959879	0	0	0	0	0	0	0	0
227984	0	5	5	970.358941	1384.19919	0.0	2354.943374	2354.558131	5.208408778097118	1.11	13.46	100	0		1.0	1.0005	0.0005	1.0003	0x66a0f5491c5ace4e491fb8a90da3af1c2b9ac233	0	0	0	0	0	0	0	0
246531	0	5	5	259.533059	209.907631	9.684378	459.845418	469.44069	0.511216115303253	1.09	13.25	100	0	4.3685711714758213e-07	1.0	1.0005	0.0005	1.0003	0x6f27486b6c9a7a7fef4a6186aa9c0ba746a5a0dd	0	0	0	0	0	0	0	0
137252	20	35	15	17883.812505	26541.442002	34600.054207	9781.473535	44425.254507000005	15.73969348615978	1.06	12.93	100	0	4.047399027e-06	1.002	1.0035	0.0015	1.0028	0x1852cb2d91b0b367fcbdb809bd35cac4841b2a1a	0	0	0	0	0	1	1	0
135389	20	45	25	962.413971	2724.737589	3177.299718	502.990129	3687.15156	2.599400904299163	1.06	12.87	100	0	3.27285373802e-05	1.002	1.0045	0.0025	1.0033	0xdc4eb419f1f6f1d8321f8c1ac01ffe03645aa133	0	0	0	0	0	0	0	0
106663	0	5	5	810.99683	845.549205	473.598403	1183.10617	1656.546035	1.6989263830946553	1.03	12.48	99	0	1.46005648571e-05	1.0	1.0005	0.0005	1.0003	0x83cac2cffc90b22fb063bfacfce4cb8544724cda	0	0	0	0	0	0	0	0
140300	20	25	5	2195.070318	4306.241105	1742.873852	4759.500675	6501.311423	6.482726815362367	1.0	12.13	100	0		1.002	1.0025	0.0005	1.0023	0xb7932b64b728d113301d298d15ceddb0bf9a25f7	true	0	39	0	0	0	0	100
140533	20	25	5	2738.743048	4834.744538	7563.078799	0.004552	7573.487585999999	13.894263149438622	0.92	11.16	100	0	5.1945469814e-06	1.002	1.0025	0.0005	1.0023	0xee7cffb7b27f825dda9e6e5e7aff507e05f39990	true	-887272	887272	0	0	0	0	100
86106	0	5	5	9122.051628	4575.677352	10002.133371	3695.462697	13697.72898	4.184880067584063	0.92	11.15	100	0		1.0	1.0005	0.0005	1.0003	0xdddcd66893097ba4fb6086aeea5c199245477c45	0	0	0	0	0	0	0	0
20450	0	5	5	3829.672193	3421.090879	3503.0583	3747.785498	7250.763072	2.218750462191785	0.92	11.17	100	0	6.143008324244192e-09	1.0	1.0005	0.0005	1.0003	0x3352cfe4b92b354c9e56382a6fc6d7462fea9ba2	0	0	0	0	0	0	0	0
262609	0	5	5	2332.123633	3653.308771	567.097821	5419.022657	5985.432404	1.7746448802130317	0.89	10.82	100	0	2.0097110642325333e-07	1.0	1.0005	0.0005	1.0003	0xacf89c236462a336917817b1d91fde5488ffb3ac	0	0	0	0	0	0	0	0
233969	0	5	5	22.426396	5.804787	0.0	28.237942	28.231183	0.0502576522413728	0.89	10.83	87	0		1.0	1.0005	0.0005	1.0003	0xf9d4fd46e2d1435e7bac9bcee6fa9536e76e5101	0	0	0	0	0	0	0	0
141597	20	25	5	13387.098899	30999.131833	44319.016895	0.026677	44386.230732	76.89622153672227	0.87	10.54	95	0		1.002	1.0025	0.0005	1.0023	0x1852cb2d91b0b367fcbdb809bd35cac4841b2a1a	0	0	0	0	0	0	0	0
605163	15	20	5	8541.336592	1419.366992	9958.525822	0.0	9960.703584	2.7364670805571087	0.82	10.03	99	0		1.0015	1.002	0.0005	1.0018	0xb0bada5d45d939a03c6d211d24a61a4418d7cd13	true	-887272	887272	0	0	0	0	50
586150	15	20	5	9476.970754	490.767448	0.0	9984.453258	9967.738202	2.68215957691366	0.81	9.82	100	0	2.7285834924e-06	1.0015	1.002	0.0005	1.0018	0xb0bada5d45d939a03c6d211d24a61a4418d7cd13	true	-887272	887272	0	0	0	0	50
586152	15	20	5	2210.801667	140.974537	0.0	2355.681436	2351.776204	0.6327464342541397	0.81	9.82	100	0	3.9933910844e-06	1.0015	1.002	0.0005	1.0018	0xb0bada5d45d939a03c6d211d24a61a4418d7cd13	true	-887272	887272	0	0	0	0	100
258303	0	5	5	575.071268	927.195437	0.0	1502.499231	1502.266705	0.7883988779253738	0.79	9.58	85	0		1.0	1.0005	0.0005	1.0003	0x0b776552c1aef1dc33005dd25acda22493b6615d	0	0	0	0	0	0	0	0
135644	30	45	15	20780.284815	23661.84521	44361.853151	0.0	44442.130025	11.40378980327974	0.77	9.37	100	0		1.003	1.0045	0.0015	1.0038	0x1852cb2d91b0b367fcbdb809bd35cac4841b2a1a	0	0	0	0	0	1	1	0
586191	15	20	5	12386.536517	320.588421	1903.682387	10821.689785	12707.124938	3.2600233459034498	0.77	9.36	100	0		1.0015	1.002	0.0005	1.0018	0xb0bada5d45d939a03c6d211d24a61a4418d7cd13	true	-887272	887272	0	0	0	0	100
144345	20	25	5	236.961498	613.79911	849.426127	0.000511	850.760608	1.307481701500139	0.77	9.35	82	0		1.002	1.0025	0.0005	1.0023	0x9fb7ed50fc5bace2e7e1101e8fd6805c9a678c84	0	0	0	0	0	0	0	0
107481	0	5	5	422.86754	428.392816	0.0	851.419288	851.260356	0.8791973540805825	0.77	9.42	73	0		1.0	1.0005	0.0005	1.0003	0x9fb7ed50fc5bace2e7e1101e8fd6805c9a678c84	0	0	0	0	0	0	0	0
107901	0	5	5	24694.660189	25313.042442	0.0	50017.000826	50007.702631	50.13272875343518	0.75	9.15	78	0	4.38624423448e-05	1.0	1.0005	0.0005	1.0003	0x1bc8c6c06a43e3fbb2ebc613e0ebc0ecb95b5937	0	0	0	0	0	0	0	0
136734	30	35	5	23.561047	6011.780747	6015.842063	0.0	6035.341794	1.5033237389064422	0.75	9.09	100	0		1.003	1.0035	0.0005	1.0033	0xb0bada5d45d939a03c6d211d24a61a4418d7cd13	true	-887272	887272	0	0	0	0	200
191480	15	20	5	757.059712	287.243265	1043.852759	0.0	1044.302977	0.2596159377396773	0.75	9.07	100	0		1.0015	1.002	0.0005	1.0018	0xb0bada5d45d939a03c6d211d24a61a4418d7cd13	true	-887272	887272	0	0	0	0	100
150344	20	25	5	466.926792	1874.858096	2337.670971	0.001407	2341.784888	2.906160493099766	0.74	9.06	96	0		1.002	1.0025	0.0005	1.0023	0x66a0f5491c5ace4e491fb8a90da3af1c2b9ac233	0	0	0	0	0	0	0	0
472326	10	15	5	9242.449932	732.763631	0.0	9986.943029	9975.213563	4.8867437214566944	0.73	8.94	100	0		1.001	1.0015	0.0005	1.0013	0xb0bada5d45d939a03c6d211d24a61a4418d7cd13	true	-887272	887272	0	0	0	0	50
472333	10	15	5	2181.070071	172.920475	0.0	2356.758511	2353.990546	1.152011569459138	0.73	8.93	100	0		1.001	1.0015	0.0005	1.0013	0xb0bada5d45d939a03c6d211d24a61a4418d7cd13	true	-887272	887272	0	0	0	0	100
154215	20	25	5	3447.508808	7399.712885	2406.327096	8443.394702	10847.221693	7.826197572525033	0.72	8.78	100	0		1.002	1.0025	0.0005	1.0023	0xc2fb9a129cb251175e19f219580c843989a44359	true	-887272	887272	0	0	0	0	100
259597	0	5	5	980.770442	1265.243962	0.0	2246.39775	2246.014404	1.073740036289072	0.72	8.72	89	0		1.0	1.0005	0.0005	1.0003	0xbcb96cb44797931c3129b92dfec777a6fbaafaac	0	0	0	0	0	0	0	0
