wallet	ticks	apr	total_profit_usd	mid_deposited_usd	rebalances	in_range	rebalances_gap_hours	mid_duration_hours	impermanent_loss_avg	auto_rebalance	vfat_cutoff_tick_low_avg	vfat_cutoff_tick_high_avg	vfat_buffer_ticks_below_avg	vfat_buffer_ticks_above_avg
0x84d0f74d21a89f86b67e9a38d8559d0b4e10f12d	50	106.74	0.06	20.12	1	100.00	0	4	0	0	0	0	0	0
0x28165971e4d592ca6c45a3786786ec2f6b4b8d23	47	72.25	1.09	548.86	1	100.00	0	11	5.078271136937929e-10	0	0	0	0	0
0x1cafbdd4cedfac589fc6f7265357f917dbc923cd	29	60.66	0.71	143.38	1	100.00	0	51	0	0	0	0	0	0
0xa464afbe33932d1c98d03e5e6a44f9e89c9c8b47	61	47.68	1.44	1104.65	1	100.00	0	20	0	0	0	0	0	0
0x51e06e1d1c6710d603b2638f49c506a0b44129a3	6	46.50	1.71	1338.52	1	89.00	0	23	0	0	0	0	0	0
0xd211dbe903af354658238731b75354f522f11bee	6	22.47	0.09	138.32	1	97.00	0	18	0.0000015235422590187397	0	0	0	0	0
0x788b8b3e7063d17fb0c6dfdbf26d45b82f51c82c	1	20.17	53.69	10165.41	3	94.33	0	65	5.797220851514832e-7	0	0	0	0	0
0xf1196bf726ed9227507f5a8b7c87ae177124db2b	3	17.94	0.07	69.59	2	76.00	0	21	0.000002190649195377148	0.5	-443636	443636	0	0
0x5ce5c394a0f8a4be282c8659e405524a089a9843	1	17.38	0.03	64.53	1	48.00	0	14	0	0	0	0	0	0
0xc1b9ecbb51fea7c1a0cd08d2df0734407c3f6ae0	15	16.43	2.53	2816.20	1	84.00	0	48	0	0	0	0	0	0
0xa4dcd05cf67ec169709f3ab845755bb4e6bda752	2	16.24	0.03	56.51	1	92.00	0	16	0	0	0	0	0	0
0x1fe4fd70272327264510e55bb2e79689a2f90b6c	6	16.06	5.39	6131.92	1	97.00	0	48	0.0000026371323236240585	0	0	0	0	0
0xd1c921829db71034b077e585fa4f28850f2b5267	8	15.37	3.36	7976.04	1	100.00	0	4	0.40652341021690797	0	0	0	0	0
0x14cb4962477759059c08ac2b0ddea8f257dee610	3	14.88	0.11	129.61	1	86.00	0	28	0	0	0	0	0	0
0xeabf34423df8b4fa2ab877ba5f181206be18eae2	1	14.08	0.29	380.22	1	86.00	0	48	0	0	0	0	0	0
0x9a01ce1ecbb36e4f3892c94f6243a4e27e5ce3de	9	13.64	1.44	1536.84	2	76.50	55	19	8.261505923812251e-8	0	0	0	0	0
0x4e20c3a169a1e2eca93b9def8ceb48b5679b97db	1	13.61	2.86	2553.59	1	100.00	0	68	0	1	-887272	887272	0	0
0xf3b8d66a259e3f2adfdf51913b553ae4d4215e06	5	13.06	2.56	1918.29	4	99.75	59	12	2.2322838022503788e-7	0	0	0	0	0
0x655301eb3992fa35ff6fec91567240310a9756a6	1	13.06	4.61	8294.38	2	47.00	29	10	0.0000010061182165177485	0	0	0	0	0
0x60583f22ada7b1352bb2faf694b3eaaf942696dd	1	12.93	3.68	2399.18	3	55.00	0	31	0.0000019564662001592126	0	0	0	0	0
0xfcbe02c757d572c7bdea24a9c4443f74563e9d73	1	12.80	1.28	1733.01	2	51.00	0	8	3.9540454799258384e-7	0	0	0	0	0
0x9293548e4b270450ce46a3168c9e5985d7b806d2	1	12.12	14.84	14511.71	4	100.00	93	21	6.195164548028487e-7	0	0	0	0	0
0x8cc48b79500a698409ff40ba6470d33962502b1b	5	12.10	9.19	27738.29	1	100.00	0	15	0	0	0	0	0	0
0x862ece63f0613a349a748fcb2da4631c7b8e0019	1	11.99	24.50	10389.71	7	84.57	72	5	8.393557912203928e-8	1	-887272	887272	0	0
0xf1903b940a19349fd3bada1c00a5bf668e912a79	8	11.86	0.17	179.43	1	100.00	0	49	0	0	0	0	0	0
0xf0e6ab264de1b35979f71a9084ad4e23d42aa3c0	1	11.76	0.55	287.78	5	61.60	48	285	0.00001996734835030267	0	0	0	0	0
0xdb09194d9ca57ae286ecdb0b423e832306b8fbe4	8	11.68	0.21	334.17	2	38.50	6	14	0.00001564943435949928	0	0	0	0	0
0x66a0f5491c5ace4e491fb8a90da3af1c2b9ac233	1	11.45	3.19	3392.61	1	88.00	0	68	0.0000027471403152290463	0	0	0	0	0
0x83ce0c26203e5f10ea0e140ef5af8a328f1766a7	1	11.41	18.58	10368.14	7	96.14	8	7	3.333347661385996e-7	0	0	0	0	0
0x7c0db1be671517f97974664f7ac4f0b6ca8c36dc	3	11.35	0.10	103.43	1	58.00	0	55	0	0	0	0	0	0
0x2a57701cc3338ded47fe44695db146342cab2428	4	11.30	0.79	944.85	2	80.50	0	35	0	1	-887272	887272	0	0
0x5f4ce0a3f3099545cb97d43d2c0e10fcc575f6a8	1	10.89	30.79	51606.83	1	100.00	0	47	0	0	0	0	0	0
0x38569e5f28921537499da81ed14d32b5b4ce95ae	1	10.85	2.56	120.69	62	75.52	14	15	6.356639981411428e-7	0	0	0	0	0
0x939c802836eb9018e4a9aeb89c638dfd89b4c462	2	10.83	39.27	22065.04	1	100.00	0	143	0	0	0	0	0	0
0x788b8b3e7063d17fb0c6dfdbf26d45b82f51c82c	5	10.57	6.56	9824.85	2	73.00	30	17	8.801333717389781e-7	0	0	0	0	0
0x42a1ef5ffdaf134eb958814e443db9c244375c8f	1	10.57	35.07	24373.12	2	94.00	1	30	0.000002373139273981195	0	0	0	0	0
0xbde54732aa9a1b861d1624a42b322f23737926d2	4	10.56	0.20	343.28	1	100.00	0	34	0	0	0	0	0	0
0xdb09194d9ca57ae286ecdb0b423e832306b8fbe4	5	9.98	0.11	412.02	1	87.00	0	6	0.000005513889234087799	0	0	0	0	0
0x51e06e1d1c6710d603b2638f49c506a0b44129a3	3	9.94	0.33	1227.17	1	100.00	0	1	0	0	0	0	0	0
0xbf0e2de41e3b7f0c7c72e11f04760b787f082460	1	9.73	0.49	368.97	1	76.00	0	100	0	0	0	0	0	0
0x056717a0bc1227412c4d708db1f1cab112073582	1	9.35	0.01	22.28	1	0.00	0	8	0.0000022002730970527296	0	0	0	0	0
0xd427c1540623c7414adef428d06a6f32d9fe7d7c	5	9.26	1.33	390.36	5	80.60	0	63	0.0000065477199906460726	0	0	0	0	0
0x120cc2c98fecb24f6a25b2c1b014d512619657a9	4	9.13	5.36	3571.06	1	84.00	0	124	0	0	0	0	0	0
0x9bf6b8ba7ca95be5a5b6373cf61df3ba347bc522	1	8.97	0.09	63.87	2	47.50	0	48	0.0000066013472743708945	0	0	0	0	0
0x7b067c80de1eb6efc176e14409bc8e118060e429	1	8.96	6.65	4517.42	3	80.00	0	37	0.0000025248185949363253	0	0	0	0	0
0xf1196bf726ed9227507f5a8b7c87ae177124db2b	5	8.85	0.02	46.88	1	78.00	0	46	0.000001801113080901473	0	0	0	0	0
0x822bdc94b2944949b1f3078531d9bcde56b5e001	2	8.75	0.30	1255.15	1	100.00	0	20	9.670551248674997e-7	0	0	0	0	0
0x32c0056425f6d994812ce0340c146e8b3d929b84	3	8.52	0.57	2437.98	1	100.00	0	4	0	0	0	0	0	0
