wallet	ticks	apr	total_profit_usd	mid_deposited_usd	rebalances	in_range	rebalances_gap_hours	mid_duration_hours	impermanent_loss_avg	auto_rebalance	vfat_cutoff_tick_low_avg	vfat_cutoff_tick_high_avg	vfat_buffer_ticks_below_avg	vfat_buffer_ticks_above_avg
0xa464afbe33932d1c98d03e5e6a44f9e89c9c8b47	61	47.68	1.44	1104.65	1	100.00	0	20	0	0	0	0	0	0
0xf1196bf726ed9227507f5a8b7c87ae177124db2b	3	17.94	0.07	69.59	2	76.00	0	21	0.000002190649195377148	0.5	-443636	443636	0	0
0x5ce5c394a0f8a4be282c8659e405524a089a9843	1	17.38	0.03	64.53	1	48.00	0	14	0	0	0	0	0	0
0x4e20c3a169a1e2eca93b9def8ceb48b5679b97db	1	13.61	2.86	2553.59	1	100.00	0	68	0	1	-887272	887272	0	0
0xd211dbe903af354658238731b75354f522f11bee	5	13.18	0.02	48.66	1	100.00	0	2	2.549049860078867e-8	0	0	0	0	0
0x60583f22ada7b1352bb2faf694b3eaaf942696dd	1	12.93	3.68	2399.18	3	55.00	0	31	0.0000019564662001592126	0	0	0	0	0
0x862ece63f0613a349a748fcb2da4631c7b8e0019	1	11.99	24.50	10389.71	7	84.57	72	5	8.393557912203928e-8	1	-887272	887272	0	0
0xf0e6ab264de1b35979f71a9084ad4e23d42aa3c0	1	11.76	0.55	287.78	5	61.60	48	285	0.00001996734835030267	0	0	0	0	0
0x664d8f8f2417f52cbbf5bd82ba82eefc58a87f07	1	11.75	669.48	296980.29	1	96.00	0	153	0	0	0	0	0	0
0x66a0f5491c5ace4e491fb8a90da3af1c2b9ac233	1	11.45	3.19	3392.61	1	88.00	0	68	0.0000027471403152290463	0	0	0	0	0
0x2a57701cc3338ded47fe44695db146342cab2428	4	11.30	0.79	944.85	2	80.50	0	35	0	1	-887272	887272	0	0
0x120cc2c98fecb24f6a25b2c1b014d512619657a9	4	9.13	5.36	3571.06	1	84.00	0	124	0	0	0	0	0	0
