id	tick_lower	tick_upper	ticks	deposited_token0	deposited_token1	collected_token0	collected_token1	total_deposited_usd	total_profit_usd	apr_30d	apr	in_range	impermanent_loss	wallet	auto_rebalance	cutoff_tick_low	cutoff_tick_high	buffer_ticks_below	buffer_ticks_above	tick_spaces_below	tick_spaces_above	dust_bp
342812	-8	-7	1	0.08486998	0.07269716	0.01116648	0.14634683	16257.462370919999	79.3106379212891	2.09	25.44	57	2.6273239139840143e-8	0x862ece63f0613a349a748fcb2da4631c7b8e0019	true	-887272	887272	0	0	0	0	100
349343	-8	-7	1	0.00150258	0.00213203	0.00092315	0.00271097	375.01179058	0.8561927564148207	1.71	20.83	62	5.106681744138086e-9	0xba40c04a9d389a105be0cddb823fbb768ca62c3c	0	0	0	0	0	0	0	0
362545	-8	-7	1	0.04036384	0.13887418	0	0.17920931	18493.420427560002	47.84008406855683	1.55	18.88	56	0.00	0x3f888f4e16a08c6b3745ddbade98e24569852fa4	true	-887272	887272	0	0	0	0	100
368219	-8	-7	1	0.00049949	0.00153689	0.00017332	0.0018628	210.10961564000002	0.3676173350224914	1.05	12.77	57	0.000060114668742894395	0x1d84a7e2eb9fcea5cc824e072ee447e881fcfd84	0	0	0	0	0	0	0	0
367517	-8	-7	1	0.0037311	0.01032409	0.01406307	0	1450.18639382	4.282358131819385	0.89	10.78	48	0.000011149723466719053	0x154b4661a08eaffc746bdf7451a17ee50ee904cf	0	0	0	0	0	0	0	0
339181	-10	-9	1	0.00021404	0.00278407	0	0.0029979	309.33899358	0.08828537788810457	0.86	10.42	58	1.733054699748493e-7	0x0826b89136190e01e8e8c14b086f9980f60253a0	0	0	0	0	0	0	0	0
362196	-8	-7	1	0.03307476	0.09885041	0.13200056	0	13611.775190260001	45.25173140109452	0.83	10.11	43	0.00	0x154b4661a08eaffc746bdf7451a17ee50ee904cf	true	-887272	887272	0	0	0	0	100
352194	-9	-7	2	0.01097835	0.04876127	0.00697863	0.05275805	6163.81451236	1.5740915992333528	0.77	9.32	64	0.00	0x154b4661a08eaffc746bdf7451a17ee50ee904cf	true	-887272	887272	0	0	1	0	100
362362	-8	-6	2	0.00139988	0.0008794	0.00227994	0	235.17155184	0.441119651820185	0.47	5.71	44	0.00	0x8623f010312c48139563809c0c7aad88b01bba75	0	0	0	0	0	0	0	0
411636	-5	-4	1	0.00433276	0.17475423	0.17916584	0	18477.837454220004	2.426555183583914	0.39	4.79	76	9.826377267430075e-7	0xb0bada5d45d939a03c6d211d24a61a4418d7cd13	true	-887272	887272	0	0	0	0	100
411637	-5	-4	1	0.00190779	0.07694735	0.07888985	0	8136.11563492	1.0666122192581522	0.39	4.79	79	0.0000027804961777455617	0xb0bada5d45d939a03c6d211d24a61a4418d7cd13	true	-887272	887272	0	0	0	0	100
385646	-8	-7	1	0.00056455	0.00377512	0.00434247	0	447.75847125999996	0.4548131342922306	0.38	4.63	44	0.00	0x5ce5c394a0f8a4be282c8659e405524a089a9843	0	0	0	0	0	0	0	0
491554	-9	-8	1	0.00626099	0.00779265	0.00636143	0.00769228	1450.02646792	0.46965930914222137	0.32	3.94	77	0.00	0x154b4661a08eaffc746bdf7451a17ee50ee904cf	0	0	0	0	0	0	0	0
516174	-9	-8	1	0.07794834	0.04886998	0.06177973	0.06502475	13084.86062096	0.6512112448659055	0.15	1.82	100	0.00	0x120cc2c98fecb24f6a25b2c1b014d512619657a9	0	0	0	0	0	0	0	0
413631	-8	-7	1	0.00711533	0.0717837	0.01330377	0.06559965	8140.64411734	0.1929988555629589	0.07	0.87	100	0.00	0xb0bada5d45d939a03c6d211d24a61a4418d7cd13	true	-887272	887272	0	0	0	0	100
413283	-7	-6	1	0.06649454	0.01237043	0.07887353	0	8137.1298746600005	0.1268645634136569	0.05	0.57	100	0.00	0xb0bada5d45d939a03c6d211d24a61a4418d7cd13	true	-887272	887272	0	0	0	0	100
413340	-7	-6	1	0.14216642	0.03693619	0.1354115	0.04368652	18479.44909458	0.15652944855059814	0.03	0.31	100	0.00003374352531837488	0xb0bada5d45d939a03c6d211d24a61a4418d7cd13	true	-887272	887272	0	0	0	0	100
352174	-10	-7	3	0.00152223	0.00956115	0.00152222	0.00956114	1143.56098164	0.000584739177301536	0.00	0.02	100	0.00	0x154b4661a08eaffc746bdf7451a17ee50ee904cf	true	-887272	887272	0	0	2	0	100
344231	-8	-7	1	0.001615	0.00135612	0.00161499	0.00135611	306.55421936	0.000362917196472716	0.00	0.04	100	0.00	0x0826b89136190e01e8e8c14b086f9980f60253a0	0	0	0	0	0	0	0	0
