wallet	ticks	apr	total_profit_usd	mid_deposited_usd	rebalances	in_range	rebalances_gap_hours	mid_duration_hours	impermanent_loss_avg	auto_rebalance	vfat_cutoff_tick_low_avg	vfat_cutoff_tick_high_avg	vfat_buffer_ticks_below_avg	vfat_buffer_ticks_above_avg
0x862ece63f0613a349a748fcb2da4631c7b8e0019	1	25.44	79.31	16257.46	1	57.00	0	159	2.6273239139840143e-8	1	-887272	887272	0	0
0xba40c04a9d389a105be0cddb823fbb768ca62c3c	1	20.83	0.86	375.01	1	62.00	0	88	5.106681744138086e-9	0	0	0	0	0
0x3f888f4e16a08c6b3745ddbade98e24569852fa4	1	18.88	47.84	18493.42	1	56.00	0	113	0	1	-887272	887272	0	0
0x1d84a7e2eb9fcea5cc824e072ee447e881fcfd84	1	12.77	0.37	210.11	1	57.00	0	97	0.000060114668742894395	0	0	0	0	0
0x154b4661a08eaffc746bdf7451a17ee50ee904cf	2	9.32	1.57	6163.81	1	64.00	0	24	0	1	-887272	887272	0	0
0x154b4661a08eaffc746bdf7451a17ee50ee904cf	1	8.28	50.00	5504.00	3	56.00	0	184	0.000003716574488906351	0.3333333333333333	-295757.3333333333	295757.3333333333	0	0
0x8623f010312c48139563809c0c7aad88b01bba75	2	5.71	0.44	235.17	1	44.00	0	265	0	0	0	0	0	0
0x0826b89136190e01e8e8c14b086f9980f60253a0	1	5.23	0.09	307.95	2	79.00	0	6	8.665273498742465e-8	0	0	0	0	0
0x5ce5c394a0f8a4be282c8659e405524a089a9843	1	4.63	0.45	447.76	1	44.00	0	188	0	0	0	0	0	0
0xb0bada5d45d939a03c6d211d24a61a4418d7cd13	1	2.27	3.97	12274.24	5	91.00	0	2	0.0000075013318445726895	1	-887272	887272	0	0
0x120cc2c98fecb24f6a25b2c1b014d512619657a9	1	1.82	0.65	13084.86	1	100.00	0	16	0	0	0	0	0	0
0x154b4661a08eaffc746bdf7451a17ee50ee904cf	3	0.02	0.00	1143.56	1	100.00	0	0	0	1	-887272	887272	0	0
