wallet	ticks	apr	total_profit_usd	mid_deposited_usd	rebalances	in_range	rebalances_gap_hours	mid_duration_hours	impermanent_loss_avg	auto_rebalance	vfat_cutoff_tick_low_avg	vfat_cutoff_tick_high_avg	vfat_buffer_ticks_below_avg	vfat_buffer_ticks_above_avg
0x0b5dba032bce476ac1e7af9f1f66c6e7823c5ea4	1	75.02	2.53	1229.19	1	88.00	0	12	6.294820220631436e-9	0	0	0	0	0
0x78266b7341161ad0cbfac66c7fb234f4017bd18b	2	72.73	2.84	747.78	2	98.50	0	12	7.652238509514575e-7	0	0	0	0	0
0x5db447eb1b37232f1a8020f911b1ca626513de44	1	71.86	0.17	85.28	1	93.00	0	18	0	0	0	0	0	0
0x470fc8505a95b2312bb58aa47a8542eae8d5fe20	1	71.73	0.85	433.68	1	81.00	0	14	6.056598778059197e-7	0	0	0	0	0
0x05970c883c8d2db8287edb0c264961001cf2280a	1	67.06	28.94	7280.67	2	83.50	16	4	9.407455925369845e-8	0	0	0	0	0
0x6eacd4ef40efb3663a42916149ee038b3308cdf5	1	66.60	0.42	57.52	1	100.00	0	95	0	0	0	0	0	0
0xdec18efb10ab7c17155662cbb6e4ad0223863a3a	1	65.18	0.89	498.92	1	100.00	0	23	0	0	0	0	0	0
0xa6861734e12e45e3b3a1dfc3d06d1bc5d3c34589	1	64.14	2.84	1616.26	1	100.00	0	2	7.992982498095103e-7	0	0	0	0	0
0x60a5b234647bbc643e8fd196f7b813de773b321c	1	57.64	93.98	11903.11	1	96.00	0	108	0	0	0	0	0	0
0xf38d868aa43d4f662c0c1b18950a999828a562ef	1	57.06	03.05	390.13	1	96.00	0	107	0	0	0	0	0	0
0x8e07b24159224a2c7f406f28da520b7a063ec9f0	1	55.52	94.87	62366.58	1	53.00	0	11	1.6769640120983809e-7	0	0	0	0	0
0xa2d8f64ca3c14a5801cdf2a8fee51a82d0a3741d	1	54.79	1.59	211.29	1	95.00	0	105	0	0	0	0	0	0
0x43de6c46b54f4dd51f4ecdaaeeed11ac4d11301e	1	53.67	1.38	478.58	2	96.00	0	6	0	0	0	0	0	0
0xaef41f0ed3d13516adc878a9a9c183580c230457	1	52.24	10.85	1515.91	1	90.00	0	106	0.00000431101525588673	0	0	0	0	0
0xa8cc3f0f9630864b4482ff3e1dbda71a0aaec577	2	52.20	7.70	5384.58	1	100.00	0	15	0	0	0	0	0	0
0x3756c2a65e70d7c556bb716fbf7bd52278a2887e	1	52.16	4.27	497.65	1	84.00	0	132	0.000005796195456930775	0	0	0	0	0
0xc50965e638cf07fb735d48d40c53c8e64c2add7c	1	51.75	10025.92	160932.75	13	85.54	3	84	0	0	0	0	0	0
0x75fffb5b8afed497b2146a0fe7be6ef4f9a1cc2d	1	49.70	0.03	19.81	1	98.00	0	16	9.000349354693071e-7	0	0	0	0	0
0xb9c44251e341d45b07aff34f376ba3e092c1c174	1	47.28	235.50	25974.76	1	80.00	0	146	0	0	0	0	0	0
0xe4267916a97d242bc2cca784c2811484f58ab323	1	46.39	79.36	14911.95	2	54.50	37	53	0	0	0	0	0	0
0x7824f6bf5638f5fd2f110e7c84eaca04f2cdeb32	4	45.89	73.56	58514.09	1	100.00	0	21	4.28916124839418e-8	0	0	0	0	0
0xa764fbda4ff2812d1021df393138d44319eac877	1	45.65	5.82	776.01	1	74.00	0	144	5.696311200509285e-8	0	0	0	0	0
0xc125fa384407c574522a18c17440d437d6767bba	1	44.66	95.84	11190.91	1	68.00	0	165	3.283817662236288e-8	0	0	0	0	0
0x186b12ceaf08fde22e32647fcc800e45876f5bd0	1	44.45	1.71	701.88	1	98.00	0	40	0	0	0	0	0	0
0x487ea6e821f5ad0ee25f25b53e1ba2ae879a8446	2	42.00	0.06	13.12	1	88.00	0	84	0	0	0	0	0	0
0xa056c95d109e69667f23b0bd4c5b94a58cbb412a	1	41.82	38.45	2798.17	5	56.00	3	34	0	0	0	0	0	0
0xaaf66ffeb4006b20f38422221093559645554f20	2	40.09	282.33	66476.56	3	100.00	0	13	0	0	0	0	0	0
0x8d8e77cc22362189ad881c27d22332330fd42f68	1	38.70	1.86	195.42	1	64.00	0	207	0.000006825617782091342	0	0	0	0	0
