wallet	ticks	apr	total_profit_usd	mid_deposited_usd	rebalances	in_range	rebalances_gap_hours	mid_duration_hours	impermanent_loss_avg	auto_rebalance	vfat_cutoff_tick_low_avg	vfat_cutoff_tick_high_avg	vfat_buffer_ticks_below_avg	vfat_buffer_ticks_above_avg
0x4deb56a42fc63650b2f0bfb9abe1850e3a091371	1	16.39	13.48	30021.37	1	100.00	0	18	0.000002737321846968399	0	0	0	0	0
0x788b8b3e7063d17fb0c6dfdbf26d45b82f51c82c	1	15.55	30.15	70781.74	1	62.00	0	18	4.445791956797507e-7	1	-887272	887272	0	0
0x7a4ccb5e285ff802f450a8cb599539edf33b40b1	1	13.93	30.53	39993.88	1	97.00	0	31	9.171190806789298e-7	1	-887272	887272	0	0
0xc82335bbdc978ce2e1f1c6c4f9e5bb2270bb2af1	1	9.71	234.10	35583.42	20	64.45	1	22	0	0	0	0	0	0
0x35dabbf0190cb68dee6d58b7ebfd28dd34959879	1	7.43	186.08	221962.92	3	62.33	0	30	0.000007744825543850217	0	0	0	0	0
0x47d06a6d5e3f4e738dea3e8df98a4525499f7619	1	6.90	156.13	61878.55	9	52.22	0	18	0	0	0	0	0	0
0x73e9f22012883e19521aa8060b0603d708bf4390	1	5.83	12.45	38932.62	2	100.00	0	13	5.175532225010215e-9	0	0	0	0	0
0x1bc8c6c06a43e3fbb2ebc613e0ebc0ecb95b5937	1	5.58	22.89	49952.16	1	21.00	0	56	0	0	0	0	0	0
0xb0bada5d45d939a03c6d211d24a61a4418d7cd13	1	5.27	973.31	22111.35	240	73.43	18	9	0	1	-887272	887272	0	0
0x6dd1e0028ef0a634b01e13b2291949255610b38f	1	05.03	10.22	16813.31	3	84.33	13	16	1.4787157424459943e-7	0	0	0	0	0
0xb0bada5d45d939a03c6d211d24a61a4418d7cd13	3	4.41	19.96	14939.36	6	99.50	0	16	0	1	-887272	887272	0	0
0x16f562fb6587a19e19761654adb195f8bc879b5d	2	3.64	15.79	52758.85	1	31.00	0	51	0.000004772571071676168	0	0	0	0	0
