wallet	ticks	apr	total_profit_usd	mid_deposited_usd	rebalances	in_range	rebalances_gap_hours	mid_duration_hours	impermanent_loss_avg	auto_rebalance	vfat_cutoff_tick_low_avg	vfat_cutoff_tick_high_avg	vfat_buffer_ticks_below_avg	vfat_buffer_ticks_above_avg
0x9ddc19759ff10b381e0e1fe2df88f5c07a69138a	1	22.96	1.26	1998.11	1	98.00	0	15	5.213826148597889e-7	1	-887272	887272	0	0
0x97b73b8eaa8662381383a67e0dbcab67f78337dd	1	22.31	6.57	10744.22	1	100.00	0	22	0.0000025477546850005695	1	-887272	887272	0	0
0xd9cf2e3e07955af2f272030e35a948326cf733f7	1	20.93	0.86	1505.74	1	100.00	0	14	0	0	0	0	0	0
0x9ddc19759ff10b381e0e1fe2df88f5c07a69138a	6	18.19	0.99	1986.68	1	100.00	0	8	3.710958207392423e-7	1	-887272	887272	0	0
0x0bd7e0f100bf5bc1b635fe2f67435a3f35868b9d	1	17.92	5.33	10858.95	1	54.00	0	22	0.0000054305476893112825	0	0	0	0	0
0x4deb56a42fc63650b2f0bfb9abe1850e3a091371	1	16.39	13.48	30021.37	1	100.00	0	18	0.000002737321846968399	0	0	0	0	0
0x788b8b3e7063d17fb0c6dfdbf26d45b82f51c82c	1	15.55	30.15	70781.74	1	62.00	0	18	4.445791956797507e-7	1	-887272	887272	0	0
0x7a4ccb5e285ff802f450a8cb599539edf33b40b1	1	13.93	30.53	39993.88	1	97.00	0	31	9.171190806789298e-7	1	-887272	887272	0	0
0x2371d57b23b7d6a56bb88b246b75dc653a4dede4	2	12.92	0.02	50.15	1	100.00	0	0	1.8344684660220878e-7	0	0	0	0	0
0x7617452156f474836604c1a79c79c0627be5fe74	1	12.88	0.77	675.99	3	78.00	109	16	4.783559548471317e-7	0	0	0	0	0
0xf1d0611d4258b465b07021ce91e96516f80cf755	1	11.33	1.68	2700.20	1	59.00	0	37	0	0	0	0	0	0
0x5cf6e510e0c123e1e839376f8ea1900bb9b9a6c1	1	11.24	0.08	244.75	1	100.00	0	8	0	1	-887272	887272	0	0
0xc82335bbdc978ce2e1f1c6c4f9e5bb2270bb2af1	1	9.71	234.10	35583.42	20	64.45	1	22	0	0	0	0	0	0
0x154b4661a08eaffc746bdf7451a17ee50ee904cf	2	09.04	0.57	689.28	3	80.67	58	10	0	1	-887272	887272	0	0
0x154b4661a08eaffc746bdf7451a17ee50ee904cf	2	8.71	0.20	821.20	1	44.00	0	7	0	0	0	0	0	0
0xe0a86afb73c0922a50d4a985a25507ecda8a9b51	1	7.92	1.33	3056.83	2	85.50	0	3	0	1	-887272	887272	0	0
0x35dabbf0190cb68dee6d58b7ebfd28dd34959879	1	7.43	186.08	221962.92	3	62.33	0	30	0.000007744825543850217	0	0	0	0	0
0xd050e74eab1acbe57b48e762e3506b5c51cd314d	1	7.43	0.16	800.24	1	100.00	0	2	0	0	0	0	0	0
0x7617452156f474836604c1a79c79c0627be5fe74	2	7.27	0.38	749.19	4	82.50	42	17	0	0	0	0	0	0
0x80e42cad02a7f4b30269fd4241d9c33f039a142e	2	07.06	2.56	1996.45	4	78.00	0	24	4.204540882124519e-8	0	0	0	0	0
0x47d06a6d5e3f4e738dea3e8df98a4525499f7619	1	6.90	156.13	61878.55	9	52.22	0	18	0	0	0	0	0	0
0xc61cc3107ad698103ace17beb39b1ac139646209	2	6.15	03.01	8927.55	2	50.00	2	7	0	1	-887272	887272	0	0
0x6f27486b6c9a7a7fef4a6186aa9c0ba746a5a0dd	1	06.05	1.30	1051.01	6	86.50	77	7	1.687168923088696e-11	0	0	0	0	0
0x2371d57b23b7d6a56bb88b246b75dc653a4dede4	8	5.86	0.01	50.15	1	100.00	0	21	0.000002468389881382649	0	0	0	0	0
0x73e9f22012883e19521aa8060b0603d708bf4390	1	5.83	12.45	38932.62	2	100.00	0	13	5.175532225010215e-9	0	0	0	0	0
0x174ce575c74b025a99173e26df4930c10e5c5555	1	5.59	01.09	1757.69	4	81.00	0	10	0.000001204409097455006	0	0	0	0	0
0x1bc8c6c06a43e3fbb2ebc613e0ebc0ecb95b5937	1	5.58	22.89	49952.16	1	21.00	0	56	0	0	0	0	0	0
0xb0bada5d45d939a03c6d211d24a61a4418d7cd13	1	5.27	973.31	22111.35	240	73.43	18	9	0	1	-887272	887272	0	0
0x6dd1e0028ef0a634b01e13b2291949255610b38f	1	05.03	10.22	16813.31	3	84.33	13	16	1.4787157424459943e-7	0	0	0	0	0
0xfa99b2e7e59f825317be8d88ce170523ead1acc7	1	4.91	0.05	94.57	2	33.50	0	39	0	0	0	0	0	0
0x154b4661a08eaffc746bdf7451a17ee50ee904cf	1	4.88	0.07	521.33	1	71.00	0	13	0	1	-887272	887272	0	0
0x89168a6c5235d5838f19dfd45d4299d755e7068f	2	4.69	1.63	12689.30	1	45.00	0	22	0	0	0	0	0	0
0xb0bada5d45d939a03c6d211d24a61a4418d7cd13	3	4.41	19.96	14939.36	6	99.50	0	16	0	1	-887272	887272	0	0
0xf0e0cdbac1121fef529c3be35b674f6dc2203948	3	4.41	0.03	259.05	1	100.00	0	7	4.411586318475713e-7	0	0	0	0	0
0x6f27486b6c9a7a7fef4a6186aa9c0ba746a5a0dd	2	4.38	0.19	1620.56	1	100.00	0	3	0	0	0	0	0	0
0x5fa125ee772e5fd6f5028422751a5e6751993459	4	4.25	0.54	1151.33	1	51.00	0	91	0	0	0	0	0	0
0x1fd6e15cd7548ec27443690ce5aa3320b1869c3d	1	4.24	0.46	5549.92	2	99.50	111	10	0.0000011687792567105504	1	-887272	887272	0	0
0x7617452156f474836604c1a79c79c0627be5fe74	3	4.20	1.14	999.67	7	76.29	73	14	4.8821542047201253e-8	0	0	0	0	0
0xcb71eb21f53a2f4de0f26dc90518df10be13d1ec	3	3.81	0.00	16.82	2	68.50	0	6	2.688243072590524e-7	0	0	0	0	0
0x0b776552c1aef1dc33005dd25acda22493b6615d	1	3.77	0.34	1645.28	1	46.00	0	28	0	0	0	0	0	0
0x16f562fb6587a19e19761654adb195f8bc879b5d	2	3.64	15.79	52758.85	1	31.00	0	51	0.000004772571071676168	0	0	0	0	0
0x154b4661a08eaffc746bdf7451a17ee50ee904cf	3	3.12	0.19	756.16	3	57.67	18	11	4.828313156698035e-7	1	-887272	887272	0	0
0xd9cf2e3e07955af2f272030e35a948326cf733f7	1	2.49	0.38	1408.02	4	57.75	0	2	0	1	-887272	887272	0	0
0x2e8fba7125cfad75b8bc750832b06acae9729b16	1	2.47	0.05	808.69	1	100.00	0	2	4.919583629359181e-7	0	0	0	0	0
0x154b4661a08eaffc746bdf7451a17ee50ee904cf	1	2.29	0.05	821.37	1	84.00	0	1	0	0	0	0	0	0
0xf45e62a383e8ad3c295e37a2742a401f1b44e12d	10	2.26	0.00	72.79	1	91.00	0	12	0.000010275469874976295	1	-887272	887272	0	0
0x69e039d6010bddf601271c2b51e126f987850c68	2	2.17	0.06	1012.20	1	51.00	0	8	0	0	0	0	0	0
0xffeeb1732aeb273fcf4b6789553b6970da71cbaf	1	2.10	2.88	71095.84	2	100.00	48	1	5.151434834260726e-12	0	0	0	0	0
0x16f562fb6587a19e19761654adb195f8bc879b5d	5	02.09	4.49	39199.79	1	100.00	0	30	0	0	0	0	0	0
0x5fa125ee772e5fd6f5028422751a5e6751993459	1	1.71	0.05	1151.72	1	95.00	0	1	0	0	0	0	0	0
0x07d5863086aae645297d2eb6286268d6adc2171e	1	1.60	0.18	3998.82	1	100.00	0	2	0	1	-887272	887272	0	0
0x9ea3f8db46ef491fe8d4163f6339352fdf1f1b52	3	1.53	4.20	99901.10	1	100.00	0	5	0	0	0	0	0	0
0x0aac7b14848701daf57939fcd51b60d1029cd57f	2	1.34	0.04	1001.10	1	100.00	0	1	0.0000016873204500278405	0	0	0	0	0
0x16f562fb6587a19e19761654adb195f8bc879b5d	1	1.27	1.87	53457.34	1	100.00	0	3	0	0	0	0	0	0
0x0bd7e0f100bf5bc1b635fe2f67435a3f35868b9d	3	1.00	0.30	10859.06	1	30.00	0	17	0	0	0	0	0	0
0x16f562fb6587a19e19761654adb195f8bc879b5d	1	0.96	1.40	53318.85	1	92.00	0	1	0	1	-887272	887272	0	0
0x9800511c5082c3aa6f4335a75dc78b1a87ea307a	1	0.89	0.00	78.87	1	100.00	0	0	0	0	0	0	0	0
0x10eb84abd429fa4df8dcabbc7c2803822a5b82d9	3	0.72	0.30	14989.86	1	100.00	0	1	3.398223147321744e-7	1	-887272	887272	0	0
0xc61cc3107ad698103ace17beb39b1ac139646209	25	0.65	0.16	8924.75	1	100.00	0	2	0.0000029784944843846972	1	-887272	887272	0	0
0x9ddc19759ff10b381e0e1fe2df88f5c07a69138a	3	0.61	0.03	1987.10	1	100.00	0	0	0	1	-887272	887272	0	0
0x0aac7b14848701daf57939fcd51b60d1029cd57f	5	0.52	0.01	1001.10	1	100.00	0	0	1.7295054277610689e-10	0	0	0	0	0
0x8e07ab8fc9e5f2613b17a5e5069673d522d0207a	1	0.40	0.05	4166.92	1	0.00	0	0	1.7845099842261902e-7	0	0	0	0	0
0x9ddc19759ff10b381e0e1fe2df88f5c07a69138a	2	0.35	0.02	1987.59	1	92.00	0	1	0	1	-887272	887272	0	0
